2.5.1.81	rxn05287	geranylgeranyl-diphosphate:isopentenyl-diphosphate transtransferase	MetaCyc: PWY-7720 (ophiobolin F biosynthesis); PWY-7736 (stellatic acid biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); SESTERTERPENOID-BIOSYNTHESIS (Sesterterpenoid Biosynthesis); Terpenoid-Biosynthesis (Terpenoid Biosynthesis)
1.5.1.-|1.5.1.43	rxn15947	carboxyspermidine:NADP+ oxidoreductase	MetaCyc: PWY-6559 (spermidine biosynthesis II); PWY-6565 (superpathway of polyamine biosynthesis III); Polyamine-Biosynthesis (Amine and Polyamine Biosynthesis); Spermidine-Biosynthesis (Spermidine Biosynthesis)|KEGG: rn00330 (Arginine and proline metabolism)
4.1.1.-|4.1.1.96	rxn15949	carboxyspermidine carboxy-lyase (spermidine-forming)	MetaCyc: PWY-6559 (spermidine biosynthesis II); PWY-6565 (superpathway of polyamine biosynthesis III); Polyamine-Biosynthesis (Amine and Polyamine Biosynthesis); Spermidine-Biosynthesis (Spermidine Biosynthesis)|KEGG: rn00330 (Arginine and proline metabolism)
2.5.1.-	rxn03843	Farnesyl diphosphate:Isopentenyl diphosphate farnesyl cistransferase	MetaCyc: POLYTERPENOID-SYN (Polyterpenoid Biosynthesis); PWY-5815 (rubber biosynthesis); SECONDARY-METABOLITE-BIOSYNTHESIS (Secondary Metabolite Biosynthesis); Terpenoid-Biosynthesis (Terpenoid Biosynthesis)
1.3.1.14|1.3.3.2	rxn01361	(S)-dihydroorotate:NAD+ oxidoreductase	MetaCyc: Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PWY-7791 (UMP biosynthesis III); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimid-Ribonucleot-De-Novo-Biosyn (Pyrimidine Ribonucleotide <i>De Novo</i> Biosynthesis); Pyrimidine-De-Novo-Biosyn (Pyrimidine Nucleotide <i>De Novo</i> Biosynthesis); UMP-Biosynthesis (UMP Biosynthesis)|KEGG: rn00240 (Pyrimidine metabolism)
2.7.1.21	rxn01143	ATP:thymidine 5'-phosphotransferase	MetaCyc: Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PWY-7199 (pyrimidine deoxyribonucleosides salvage); PWY-7200 (superpathway of pyrimidine deoxyribonucleoside salvage); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimidine-Nucleotide-Salvage (Pyrimidine Nucleotide Salvage)|KEGG: rn00240 (Pyrimidine metabolism)
2.7.1.21	rxn01518	ATP:deoxyuridine 5'-phosphotransferase	MetaCyc: Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PWY-7199 (pyrimidine deoxyribonucleosides salvage); PWY-7200 (superpathway of pyrimidine deoxyribonucleoside salvage); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimidine-Nucleotide-Salvage (Pyrimidine Nucleotide Salvage)|KEGG: rn00240 (Pyrimidine metabolism)
2.7.4.6	rxn00409	ATP:CDP phosphotransferase	MetaCyc: Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PWY-7196 (superpathway of pyrimidine ribonucleosides salvage); PWY-7205 (CMP phosphorylation); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimidine-Nucleotide-Salvage (Pyrimidine Nucleotide Salvage)|KEGG: rn00240 (Pyrimidine metabolism)
2.7.1.48	rxn00709	ATP:uridine 5'-phosphotransferase	MetaCyc: Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PWY-7193 (pyrimidine ribonucleosides salvage I); PWY-7196 (superpathway of pyrimidine ribonucleosides salvage); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimidine-Nucleotide-Salvage (Pyrimidine Nucleotide Salvage)|KEGG: rn00240 (Pyrimidine metabolism)
2.4.2.9	rxn00711	UMP:diphosphate phospho-alpha-D-ribosyltransferase	MetaCyc: Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PWY-7183 (pyrimidine nucleobases salvage I); PWY-7194 (pyrimidine nucleobases salvage II); PWY-7196 (superpathway of pyrimidine ribonucleosides salvage); PWY-7208 (superpathway of pyrimidine nucleobases salvage); PYR-NUC-SYN (Pyrimidine Nucleotide Biosynthesis); Pyrimidine-Nucleotide-Salvage (Pyrimidine Nucleotide Salvage)|KEGG: rn00240 (Pyrimidine metabolism)
2.7.4.11|2.7.4.3	rxn01127	ATP:dAMP phosphotransferase	MetaCyc: Metabolic-Clusters (Metabolic Clusters); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PUR-NUC-SYN (Purine Nucleotide Biosynthesis); PWY-7224 (purine deoxyribonucleosides salvage); Purine-Nucleotides-Salvage (Purine Nucleotide Salvage)|KEGG: rn00230 (Purine metabolism)
2.7.4.12|2.7.4.8	rxn01509	ATP:dGMP phosphotransferase	MetaCyc: Metabolic-Clusters (Metabolic Clusters); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PUR-NUC-SYN (Purine Nucleotide Biosynthesis); PWY-7224 (purine deoxyribonucleosides salvage); Purine-Nucleotides-Salvage (Purine Nucleotide Salvage)|KEGG: rn00230 (Purine metabolism)
3.1.4.2|3.1.4.46	rxn01073	sn-Glycero-3-phosphoethanolamine glycerophosphohydrolase	"MetaCyc: Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-7409 (phospholipid remodeling (phosphatidylethanolamine, yeast)); PhosphatidylethanolamineBiosynthesis (Phosphatidylethanolamine Biosynthesis); Phospholipid-Biosynthesis (Phospholipid Biosynthesis)|KEGG: rn00564 (Glycerophospholipid metabolism)"
6.3.4.-|6.3.4.23	rxn04784	5-formaminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate synthetase	MetaCyc: IMP-Biosynthesis (Inosine-5'-phosphate Biosynthesis); Nucleotide-Biosynthesis (Nucleoside and Nucleotide Biosynthesis); PUR-NUC-SYN (Purine Nucleotide Biosynthesis); PWY-7234 (inosine-5'-phosphate biosynthesis III); Purine-Nucleotide-De-Novo-Biosynthesis (Purine Nucleotide <i>De Novo</i> Biosynthesis); Purine-Ribonuc-De-Novo-Biosynthesis (Purine Riboucleotide <i>De Novo</i> Biosynthesis)|KEGG: rn00230 (Purine metabolism); rn01110 (Biosynthesis of secondary metabolites)
1.1.1.100|2.3.1.85|2.3.1.86	rxn05337	(3R)-3-Hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	MetaCyc: Fatty-acid-biosynthesis (Fatty Acid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-5156 (superpathway of fatty acid biosynthesis II (plant)); PWY-5971 (palmitate biosynthesis II (bacteria and plants)); PWY-5994 (palmitate biosynthesis I (animals and fungi)); PWY-6113 (superpathway of mycolate biosynthesis); PWY-6285 (superpathway of fatty acids biosynthesis (<i>E. coli</i>)); Palmitate-Biosynthesis (Palmitate Biosynthesis)|KEGG: rn00061 (Fatty acid biosynthesis); rn01212 (Fatty acid metabolism)
1.1.1.100|2.3.1.85|2.3.1.86	rxn05338	(3R)-3-Hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	MetaCyc: Fatty-acid-biosynthesis (Fatty Acid Biosynthesis); Lipid-Biosynthesis (Fatty Acid and Lipid Biosynthesis); PWY-5156 (superpathway of fatty acid biosynthesis II (plant)); PWY-5971 (palmitate biosynthesis II (bacteria and plants)); PWY-5994 (palmitate biosynthesis I (animals and fungi)); PWY-6113 (superpathway of mycolate biosynthesis); PWY-6285 (superpathway of fatty acids biosynthesis (<i>E. coli</i>)); Palmitate-Biosynthesis (Palmitate Biosynthesis)|KEGG: rn00061 (Fatty acid biosynthesis); rn01212 (Fatty acid metabolism)
