,mbm_media_Glucose ,l1_media_Glucose ,mbm_media_Acetate,l1_media_Acetate,mbm_media_3-hydroxybutyrate,l1_media_Alanine,l1_media_Proline,l1_media_Glycerol-3-phosphate,l1_media_DHPS (dihydroxypropanesulfonate),l1_media_Tyrosine,l1_media_Glutamate,l1_media_Valine,empty,mbm_noC,l1_noC
cpd11461_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd11463_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd11462_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00010_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd11493_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00003_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00006_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00205_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00254_c0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cpd10516_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00063_c0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cpd00099_c0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cpd00149_c0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cpd00058_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00015_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd10515_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00030_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00048_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00034_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00016_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00220_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00017_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00201_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00087_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00345_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00042_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00028_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00557_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00264_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00118_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00056_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd15560_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd15352_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd15500_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00166_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd15793_c0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cpd15540_c0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cpd15533_c0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cpd03736_c0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
cpd02229_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd15665_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00002_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
cpd00001_c0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
