,empty,mbm_noC,l1_noC,mbm_media_Glucose ,l1_media_Glucose ,mbm_media_Acetate,l1_media_Acetate,mbm_media_3-hydroxybutyrate,l1_media_Alanine,l1_media_Proline,l1_media_Glycerol-3-phosphate,l1_media_DHPS (dihydroxypropanesulfonate),l1_media_Tyrosine,l1_media_Glutamate,l1_media_Valine
DNA [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Protein [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
mRNA [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CoA [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ACP [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NAD [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
NADP [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
K+ [c0],False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Mg [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
fe3 [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ca2+ [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cl- [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Co2+ [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cu2+ [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
FAD [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fe2+ [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mn2+ [c0],False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Sulfate [c0],False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Zn2+ [c0],False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Pyridoxal phosphate [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Riboflavin [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
S-Adenosyl-L-methionine [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10-Formyltetrahydrofolate [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tetrahydrofolate [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5-Methyltetrahydrofolate [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
GSH [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Heme [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Siroheme [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Spermidine [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Putrescine [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
TPP [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ubiquinone-8 [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2-Demethylmenaquinone 8 [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Menaquinone 8 [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Calomide [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Stearoylcardiolipin (B. subtilis) [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Phosphatidylglycerol dioctadecanoyl [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
phosphatidylethanolamine dioctadecanoyl [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lauroyl-KDO2-lipid IV(A) [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bactoprenyl diphosphate [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Peptidoglycan polymer (n subunits) [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ATP [c0],False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
H2O [c0],False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
