CleanName,INorEX,label,Method,replicateID,timepoint,nM
3-phosphoglycerate,EX,4A,AN,A,4,0.288660691
3-phosphoglycerate,EX,4B,AN,B,4,0.288660691
3-phosphoglycerate,EX,4C,AN,C,4,0.288660691
3-phosphoglycerate,EX,32C,AN,C,32,5.207508302
3-phosphoglycerate,EX,32A,AN,A,32,4.814028013
3-phosphoglycerate,EX,32B,AN,B,32,0.288660691
3-phosphoglycerate,EX,24A,AN,A,24,4.406026832
3-phosphoglycerate,EX,24B,AN,B,24,3.47965205
3-phosphoglycerate,EX,24C,AN,C,24,3.443098755
3-phosphoglycerate,EX,16A,AN,A,16,3.364545727
3-phosphoglycerate,EX,16C,AN,C,16,3.560051748
3-phosphoglycerate,EX,16B,AN,B,16,8.577130087
3-phosphoglycerate,EX,22C,AN,C,22,2.900816442
3-phosphoglycerate,EX,22B,AN,B,22,0.288660691
3-phosphoglycerate,EX,22A,AN,A,22,0.288660691
3-phosphoglycerate,EX,2C,AN,C,2,0.288660691
3-phosphoglycerate,EX,2A,AN,A,2,3.059400405
3-phosphoglycerate,EX,2B,AN,B,2,0.288660691
3-phosphoglycerate,EX,46B,AN,B,46,3.50606186
3-phosphoglycerate,EX,46A,AN,A,46,0.288660691
3-phosphoglycerate,EX,46C,AN,C,46,3.717565624
3-phosphoglycerate,EX,34B,AN,B,34,0.288660691
3-phosphoglycerate,EX,34A,AN,A,34,0.288660691
3-phosphoglycerate,EX,34C,AN,C,34,4.210639465
3-phosphoglycerate,EX,44B,AN,B,44,3.805446025
3-phosphoglycerate,EX,44A,AN,A,44,0.288660691
3-phosphoglycerate,EX,44C,AN,C,44,3.259921064
3-phosphoglycerate,EX,8C,AN,C,8,0.288660691
3-phosphoglycerate,EX,8B,AN,B,8,0.288660691
3-phosphoglycerate,EX,8A,AN,A,8,0.288660691
3-phosphoglycerate,EX,12B,AN,B,12,10.35553327
3-phosphoglycerate,EX,12A,AN,A,12,9.799996843
3-phosphoglycerate,EX,12C,AN,C,12,5.615602857
3-phosphoglycerate,EX,6A,AN,A,6,4.97217478
3-phosphoglycerate,EX,6C,AN,C,6,0.288660691
3-phosphoglycerate,EX,6B,AN,B,6,0.288660691
3-phosphoglycerate,EX,0A,AN,A,0,0.288660691
3-phosphoglycerate,EX,0C,AN,C,0,0.288660691
3-phosphoglycerate,EX,0B,AN,B,0,0.288660691
3-phosphoglycerate,EX,20C,AN,C,20,0.288660691
3-phosphoglycerate,EX,20B,AN,B,20,0.288660691
3-phosphoglycerate,EX,20A,AN,A,20,0.288660691
3-phosphoglycerate,EX,38B,AN,B,38,4.045474358
3-phosphoglycerate,EX,38A,AN,A,38,7.435993492
3-phosphoglycerate,EX,38C,AN,C,38,3.461465381
3-phosphoglycerate,EX,42C,AN,C,42,3.004001379
3-phosphoglycerate,EX,42A,AN,A,42,3.334923524
3-phosphoglycerate,EX,42B,AN,B,42,3.471485228
3-phosphoglycerate,EX,14A,AN,A,14,4.142521345
3-phosphoglycerate,EX,14B,AN,B,14,2.996596606
3-phosphoglycerate,EX,14C,AN,C,14,0.288660691
3-phosphoglycerate,EX,10B,AN,B,10,0.288660691
3-phosphoglycerate,EX,10C,AN,C,10,7.8732921320000004
3-phosphoglycerate,EX,10A,AN,A,10,0.288660691
3-phosphoglycerate,EX,26C,AN,C,26,0.288660691
3-phosphoglycerate,EX,26B,AN,B,26,3.38057741
3-phosphoglycerate,EX,26A,AN,A,26,0.288660691
3-phosphoglycerate,EX,18B,AN,B,18,0.288660691
3-phosphoglycerate,EX,18A,AN,A,18,0.288660691
3-phosphoglycerate,EX,18C,AN,C,18,0.288660691
3-phosphoglycerate,EX,36A,AN,A,36,3.042192175
3-phosphoglycerate,EX,36B,AN,B,36,12.16748177
3-phosphoglycerate,EX,36C,AN,C,36,4.437947729
3-phosphoglycerate,EX,30A,AN,A,30,3.239902779
3-phosphoglycerate,EX,30C,AN,C,30,2.896963565
3-phosphoglycerate,EX,30B,AN,B,30,3.207130545
3-phosphoglycerate,EX,40B,AN,B,40,0.288660691
3-phosphoglycerate,EX,40C,AN,C,40,0.288660691
3-phosphoglycerate,EX,40A,AN,A,40,3.06360159
3-phosphoglycerate,EX,28B,AN,B,28,3.51899067
3-phosphoglycerate,EX,28A,AN,A,28,0.288660691
3-phosphoglycerate,EX,28C,AN,C,28,0.288660691
a-ketoglutarate,EX,4A,AN,A,4,14.22830439
a-ketoglutarate,EX,4B,AN,B,4,16.98982448
a-ketoglutarate,EX,4C,AN,C,4,14.30029419
a-ketoglutarate,EX,32C,AN,C,32,28.34910579
a-ketoglutarate,EX,32A,AN,A,32,21.49374174
a-ketoglutarate,EX,32B,AN,B,32,32.72216769
a-ketoglutarate,EX,24A,AN,A,24,15.77409919
a-ketoglutarate,EX,24B,AN,B,24,20.27777106
a-ketoglutarate,EX,24C,AN,C,24,19.30457857
a-ketoglutarate,EX,16A,AN,A,16,12.69074032
a-ketoglutarate,EX,16C,AN,C,16,14.47476653
a-ketoglutarate,EX,16B,AN,B,16,20.26332472
a-ketoglutarate,EX,22C,AN,C,22,16.38348105
a-ketoglutarate,EX,22B,AN,B,22,18.98750141
a-ketoglutarate,EX,22A,AN,A,22,19.3908296
a-ketoglutarate,EX,2C,AN,C,2,14.92093483
a-ketoglutarate,EX,2A,AN,A,2,15.25358463
a-ketoglutarate,EX,2B,AN,B,2,15.10675679
a-ketoglutarate,EX,46B,AN,B,46,35.70343385
a-ketoglutarate,EX,46A,AN,A,46,33.44249082
a-ketoglutarate,EX,46C,AN,C,46,32.77591718
a-ketoglutarate,EX,34B,AN,B,34,32.28142203
a-ketoglutarate,EX,34A,AN,A,34,30.49126256
a-ketoglutarate,EX,34C,AN,C,34,26.92241332
a-ketoglutarate,EX,44B,AN,B,44,33.10041452
a-ketoglutarate,EX,44A,AN,A,44,24.90535475
a-ketoglutarate,EX,44C,AN,C,44,27.43222727
a-ketoglutarate,EX,8C,AN,C,8,16.82020436
a-ketoglutarate,EX,8B,AN,B,8,16.01404609
a-ketoglutarate,EX,8A,AN,A,8,13.32725301
a-ketoglutarate,EX,12B,AN,B,12,18.26089299
a-ketoglutarate,EX,12A,AN,A,12,12.74499709
a-ketoglutarate,EX,12C,AN,C,12,17.71974891
a-ketoglutarate,EX,6A,AN,A,6,15.41414923
a-ketoglutarate,EX,6C,AN,C,6,0.026048068
a-ketoglutarate,EX,6B,AN,B,6,0.026048068
a-ketoglutarate,EX,0A,AN,A,0,0.026048068
a-ketoglutarate,EX,0C,AN,C,0,12.99174243
a-ketoglutarate,EX,0B,AN,B,0,14.86754031
a-ketoglutarate,EX,20C,AN,C,20,15.90405921
a-ketoglutarate,EX,20B,AN,B,20,16.90921439
a-ketoglutarate,EX,20A,AN,A,20,21.6161672
a-ketoglutarate,EX,38B,AN,B,38,38.71831636
a-ketoglutarate,EX,38A,AN,A,38,33.38283875
a-ketoglutarate,EX,38C,AN,C,38,33.92874215
a-ketoglutarate,EX,42C,AN,C,42,28.54691584
a-ketoglutarate,EX,42A,AN,A,42,29.31037086
a-ketoglutarate,EX,42B,AN,B,42,30.00898664
a-ketoglutarate,EX,14A,AN,A,14,19.12714943
a-ketoglutarate,EX,14B,AN,B,14,16.04063986
a-ketoglutarate,EX,14C,AN,C,14,17.1395141
a-ketoglutarate,EX,10B,AN,B,10,8.812680378
a-ketoglutarate,EX,10C,AN,C,10,13.16591637
a-ketoglutarate,EX,10A,AN,A,10,19.34121849
a-ketoglutarate,EX,26C,AN,C,26,23.71491248
a-ketoglutarate,EX,26B,AN,B,26,23.17859974
a-ketoglutarate,EX,26A,AN,A,26,23.579176790000002
a-ketoglutarate,EX,18B,AN,B,18,19.40074136
a-ketoglutarate,EX,18A,AN,A,18,18.33863495
a-ketoglutarate,EX,18C,AN,C,18,17.18945401
a-ketoglutarate,EX,36A,AN,A,36,30.6360598
a-ketoglutarate,EX,36B,AN,B,36,33.24116852
a-ketoglutarate,EX,36C,AN,C,36,28.81637376
a-ketoglutarate,EX,30A,AN,A,30,17.70323167
a-ketoglutarate,EX,30C,AN,C,30,28.60987123
a-ketoglutarate,EX,30B,AN,B,30,27.46895955
a-ketoglutarate,EX,40B,AN,B,40,35.10092905
a-ketoglutarate,EX,40C,AN,C,40,34.35705757
a-ketoglutarate,EX,40A,AN,A,40,32.90752322
a-ketoglutarate,EX,28B,AN,B,28,24.51825368
a-ketoglutarate,EX,28A,AN,A,28,27.28773294
a-ketoglutarate,EX,28C,AN,C,28,24.419012940000002
adenosine_5_monophosphate,EX,4A,AN,A,4,2.799421505
adenosine_5_monophosphate,EX,4B,AN,B,4,2.114937186
adenosine_5_monophosphate,EX,4C,AN,C,4,1.825772133
adenosine_5_monophosphate,EX,32C,AN,C,32,7.026819778
adenosine_5_monophosphate,EX,32A,AN,A,32,5.435322088
adenosine_5_monophosphate,EX,32B,AN,B,32,5.668614725
adenosine_5_monophosphate,EX,24A,AN,A,24,0.547191814
adenosine_5_monophosphate,EX,24B,AN,B,24,4.750364035
adenosine_5_monophosphate,EX,24C,AN,C,24,2.683977492
adenosine_5_monophosphate,EX,16A,AN,A,16,3.844708439
adenosine_5_monophosphate,EX,16C,AN,C,16,5.335446557
adenosine_5_monophosphate,EX,16B,AN,B,16,4.561065566
adenosine_5_monophosphate,EX,22C,AN,C,22,4.347170869
adenosine_5_monophosphate,EX,22B,AN,B,22,4.596526355
adenosine_5_monophosphate,EX,22A,AN,A,22,2.775398166
adenosine_5_monophosphate,EX,2C,AN,C,2,2.259927127
adenosine_5_monophosphate,EX,2A,AN,A,2,1.921148303
adenosine_5_monophosphate,EX,2B,AN,B,2,2.544167125
adenosine_5_monophosphate,EX,46B,AN,B,46,8.271018097
adenosine_5_monophosphate,EX,46A,AN,A,46,7.082670086
adenosine_5_monophosphate,EX,46C,AN,C,46,6.802191078
adenosine_5_monophosphate,EX,34B,AN,B,34,6.341917959
adenosine_5_monophosphate,EX,34A,AN,A,34,5.433770747
adenosine_5_monophosphate,EX,34C,AN,C,34,8.335275344
adenosine_5_monophosphate,EX,44B,AN,B,44,6.876616166
adenosine_5_monophosphate,EX,44A,AN,A,44,5.553109852
adenosine_5_monophosphate,EX,44C,AN,C,44,6.370959027
adenosine_5_monophosphate,EX,8C,AN,C,8,3.852905026
adenosine_5_monophosphate,EX,8B,AN,B,8,3.019362375
