Pathway.Number,Metabolite,Broad.pathway.description,Kind.of.Metabolism..Synthesis..Degradation..Transport.,Subpathway,Step,StepName,Enzyme,Step.description,Name,Definition,KEGG.Reaction,KEGG.Enzyme,KO,Category.of.Metabolism,Gene,EnzymeName,Diagnostic,DeltaGm,DeltaG0,ATP.Requirement,ATP.Creation,O2.Requirement,NAD..NADP..Req.,NADH.NADPH.Requirement,FAD.Req.,FADH2.Requirement,Notes,Gene.Call.ID,Inferred Presence
104,Adenosine Monophosphate,Adenosine Monophosphate Degradation,Degradation,1,1,Adenosine 5'-monophosphate phosphohydrolase,1,5'-nucleotidase,adenosine 5'-monophosphate phosphohydrolase,AMP + H2O <=> Adenosine + Orthophosphate,R00183,3.1.3.5,K01081,Nucleotide Degradation,nt5c,Adenosine 5'-monophosphate phosphohydrolase 1,0,-31.7,-14.6,,,,,,,,,,1
104,Adenosine Monophosphate,Adenosine Monophosphate Degradation,Degradation,1,1,Adenosine 5'-monophosphate phosphohydrolase,2,5'-nucleotidase,adenosine 5'-monophosphate phosphohydrolase,AMP + H2O <=> Adenosine + Orthophosphate,R00183,3.1.3.5,K02566,Nucleotide Degradation,nagD,Adenosine 5'-monophosphate phosphohydrolase 2,0,-31.7,-14.6,,,,,,,,,,1
104,Adenosine Monophosphate,Adenosine Monophosphate Degradation,Degradation,1,1,Adenosine 5'-monophosphate phosphohydrolase,3,5'/3'-nucleotidase,adenosine 5'-monophosphate phosphohydrolase,AMP + H2O <=> Adenosine + Orthophosphate,R00183,3.1.3.5,K03787,Nucleotide Degradation,surE,Adenosine 5'-monophosphate phosphohydrolase 3,0,-31.7,-14.6,,,,,,,,,,1
104,Adenosine Monophosphate,Adenosine Monophosphate Degradation,Degradation,1,1,Adenosine 5'-monophosphate phosphohydrolase,4,"2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase / 5'-nucleotidase",adenosine 5'-monophosphate phosphohydrolase,AMP + H2O <=> Adenosine + Orthophosphate,R00183,3.1.3.5,K08693,Nucleotide Degradation,yfkN,Adenosine 5'-monophosphate phosphohydrolase 4,0,-31.7,-14.6,,,,,,,,,,1
104,Adenosine Monophosphate,Adenosine Monophosphate Degradation,Degradation,1,1,Adenosine 5'-monophosphate phosphohydrolase,5,5'-nucleotidase / UDP-sugar diphosphatase,adenosine 5'-monophosphate phosphohydrolase,AMP + H2O <=> Adenosine + Orthophosphate,R00183,3.1.3.5,K11751,Nucleotide Degradation,ushA,Adenosine 5'-monophosphate phosphohydrolase 5,0,-31.7,-14.6,,,,,,,,,,1
104,Adenosine Monophosphate,Adenosine Monophosphate Degradation,Degradation,1,2,Adenosine Deaminase,1,,Adenosine aminohydrolase,Adenosine + H2O <=> Inosine + Ammonia,R01560,3.5.4.4,K01488,Nucleotide Degradation,ada,Adenosine Deaminase 1,0,-37.4,-20.3,,,,,,,,,,1
104,Adenosine Monophosphate,Adenosine Monophosphate Degradation,Degradation,1,2,Adenosine Deaminase,2,,Adenosine aminohydrolase,Adenosine + H2O <=> Inosine + Ammonia,R01560,3.5.4.4,K05810,Nucleotide Degradation,yfiH,Adenosine Deaminase 2,0,-37.4,-20.3,,,,,,,,,2588,1
104,Adenosine Monophosphate,Adenosine Monophosphate Degradation,Degradation,1,2,Adenosine Deaminase,3,,Adenosine aminohydrolase,Adenosine + H2O <=> Inosine + Ammonia,R01560,3.5.4.4,K19572,Nucleotide Degradation,ada2,Adenosine Deaminase 3,0,-37.4,-20.3,,,,,,,,,,1
104,Adenosine Monophosphate,Adenosine Monophosphate Degradation,Degradation,1,3,Purine-nucleoside phosphorylase,1,purine-nucleoside phosphorylase,adenosine:phosphate alpha-D-ribosyltransferase,Adenosine + Orthophosphate <=> Adenine + alpha-D-Ribose 1-phosphate,R01561,2.4.2.1,K03783,Nucleotide Degradation,pnp,Purine-nucleoside phosphorylase 1,0,8.1,8.1,,,,,,,,,,1
104,Adenosine Monophosphate,Adenosine Monophosphate Degradation,Degradation,1,3,Purine-nucleoside phosphorylase,2,purine-nucleoside phosphorylase,adenosine:phosphate alpha-D-ribosyltransferase,Adenosine + Orthophosphate <=> Adenine + alpha-D-Ribose 1-phosphate,R01562,2.4.2.1,K03784,Nucleotide Degradation,deoD,Purine-nucleoside phosphorylase 2,0,8.1,8.1,,,,,,,,,,1
