manual_curation,curation_notes,modelseed_id,kegg_id,equation,gene_id,ec_numbers,already_in_model,name,rxn_def,rev_dir
fail,KEGG reaction does not match KEGG ortholog IDs or E.C. numbers,,R01450,,AMN11334.1;WP_049589018.1,4.2.1.7,no,,,
fail,redundant w/rxn00011+rxn02342+rxn01871,rxn00154,R00209,NAD + CoA + Pyruvate => NADH + CO2 + Acetyl-CoA,WP_049586089.1;WP_049586087.1,1.2.1.104;1.2.1.-;1.2.1.M10;1.2.4.1;1.8.1.4;2.3.1.12,no,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating),"-1:cpd00003:0:0:""NAD"";-1:cpd00010:0:0:""CoA"";-1:cpd00020:0:0:""Pyruvate"";1:cpd00004:0:0:""NADH"";1:cpd00011:0:0:""CO2"";1:cpd00022:0:0:""Acetyl-CoA""",=
fail,redundant w/rxn00504,rxn00503,R00707,(2) H2O + NAD + 1-Pyrroline-5-carboxylate <=> NADH + L-Glutamate + H+,WP_014950684.1;WP_049587341.1,1.2.1.88;1.5.1.12,no,(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase,"-2:cpd00001:0:0:""H2O"";-1:cpd00003:0:0:""NAD"";-1:cpd02431:0:0:""1-Pyrroline-5-carboxylate"";1:cpd00004:0:0:""NADH"";1:cpd00023:0:0:""L-Glutamate"";1:cpd00067:0:0:""H+""",=
fail,redundant w/rxn01387+rxn00199,rxn00505,R00709,NAD + Isocitrate => NADH + CO2 + 2-Oxoglutarate,WP_014948534.1,1.1.1.41;1.1.1.286,no,Isocitrate:NAD+ oxidoreductase (decarboxylating),"-1:cpd00003:0:0:""NAD"";-1:cpd00260:0:0:""Isocitrate"";1:cpd00004:0:0:""NADH"";1:cpd00011:0:0:""CO2"";1:cpd00024:0:0:""2-Oxoglutarate""",>
fail,redundant w/rxn00508,rxn00509,R00714,H2O + NADP + 4-Oxobutanoate <=> NADPH + Succinate + (2) H+,WP_049585438.1,1.2.1.79;1.2.1.79;1.2.1.16,no,Succinate-semialdehyde:NADP+ oxidoreductase,"-1:cpd00001:0:0:""H2O"";-1:cpd00006:0:0:""NADP"";-1:cpd00199:0:0:""4-Oxobutanoate"";1:cpd00005:0:0:""NADPH"";1:cpd00036:0:0:""Succinate"";2:cpd00067:0:0:""H+""",=
fail,redundant w/rxn00543,rxn00536,R00746,NADP + Ethanol <=> NADPH + H+ + Acetaldehyde,WP_080986362.1;WP_049588854.1;WP_049587342.1,1.1.1.2;1.1.1.71,no,Ethanol:NADP+ oxidoreductase,"-1:cpd00006:0:0:""NADP"";-1:cpd00363:0:0:""Ethanol"";1:cpd00005:0:0:""NADPH"";1:cpd00067:0:0:""H+"";1:cpd00071:0:0:""Acetaldehyde""",=
fail,"redundant w/rxn03990,rxn03991",rxn00567,R00783,H2O + Cytochrome c3+ + NO <= H+ + Nitrite + Cytochrome c2+,WP_041693510.1,4.4.1.1;1.7.2.1,no,nitric-oxide:ferricytochrome-c oxidoreductase,"-1:cpd00001:0:0:""H2O"";-1:cpd00109:0:0:""Cytochrome c3+"";-1:cpd00418:0:0:""NO"";1:cpd00067:0:0:""H+"";1:cpd00075:0:0:""Nitrite"";1:cpd00110:0:0:""Cytochrome c2+""",?
fail,redundant w/rxn09499+rxn09498,rxn00908,R01221,NAD + Glycine + Tetrahydrofolate => NADH + CO2 + NH3 + 5-10-Methylenetetrahydrofolate,WP_049587956.1;WP_014950360.1,2.1.2.10;1.4.1.27;1.4.4.2;1.8.1.4,no,glycine synthase,"-1:cpd00003:0:0:""NAD"";-1:cpd00033:0:0:""Glycine"";-1:cpd00087:0:0:""Tetrahydrofolate"";1:cpd00004:0:0:""NADH"";1:cpd00011:0:0:""CO2"";1:cpd00013:0:0:""NH3"";1:cpd00125:0:0:""5-10-Methylenetetrahydrofolate""",=
fail,redundant w/rxn00974+rxn01388,rxn00973,R01324,Citrate <=> Isocitrate,WP_049588093.1,4.2.1.3,no,citrate hydroxymutase,"-1:cpd00137:0:0:""Citrate"";1:cpd00260:0:0:""Isocitrate""",=
fail,unnecessary (see PR #211),rxn01171,R01602,D-Glucose <=> beta-D-Glucose,WP_049589083.1,5.1.3.3,no,D-glucose 1-epimerase,"-1:cpd00027:0:0:""D-Glucose"";1:cpd00190:0:0:""beta-D-Glucose""",=
fail,unnecessary (see PR #211),rxn01967,R02728,beta-D-Glucose 1-phosphate <=> beta-D-Glucose 6-phosphate,WP_014977981.1,5.4.2.6,no,"beta-D-Glucose 1-phosphate 1,6-phosphomutase","-1:cpd00501:0:0:""beta-D-Glucose 1-phosphate"";1:cpd00863:0:0:""beta-D-Glucose 6-phosphate""",=
fail,unnecessary (see PR #211),rxn01975,R02736,NADP + beta-D-Glucose 6-phosphate <=> NADPH + H+ + 6-phospho-D-glucono-1-5-lactone,WP_049587589.1,1.1.1.49,no,beta-D-Glucose-6-phosphate:NADP+ 1-oxoreductase,"-1:cpd00006:0:0:""NADP"";-1:cpd00863:0:0:""beta-D-Glucose 6-phosphate"";1:cpd00005:0:0:""NADPH"";1:cpd00067:0:0:""H+"";1:cpd00911:0:0:""6-phospho-D-glucono-1-5-lactone""",=
fail,unnecessary (see PR #211),rxn01975,R02736,"beta-D-Glucose 6-phosphate + NADP+ <=> D-Glucono-1,5-lactone 6-phosphate + NADPH + H+",WP_049587589.1,1.1.1.363;1.1.1.49,no,,,
fail,"redundant w/rxn00568,rxn00569",rxn03978,R05712,(2) H2O + NH3 + (6) Cytochrome c3+ <= (7) H+ + Nitrite + (6) Cytochrome c2+,WP_049585962.1,1.7.2.2,no,ammonia:ferricytochrome-c oxidoreductase,"-2:cpd00001:0:0:""H2O"";-1:cpd00013:0:0:""NH3"";-6:cpd00109:0:0:""Cytochrome c3+"";7:cpd00067:0:0:""H+"";1:cpd00075:0:0:""Nitrite"";6:cpd00110:0:0:""Cytochrome c2+""",?
fail,generic reaction,rxn05966,R01314,H2O + Lecithin <=> Carboxylic acid + H+ + 3-Lysolecithin,VTP52826.1,3.1.1.32,no,Phosphatidylcholine 1-acylhydrolase,"-1:cpd00001:0:0:""H2O"";-1:cpd11624:0:0:""Lecithin"";1:cpd00049:0:0:""Carboxylic acid"";1:cpd00067:0:0:""H+"";1:cpd02603:0:0:""3-Lysolecithin""",?
fail,generic reaction,rxn06037,R01778,NAD + (S)-3-Hydroxyacyl-CoA <=> NADH + H+ + 3-Oxoacyl-CoA,WP_049588754.1,1.1.1.35;1.1.1.-;1.1.1.211,no,(3S)-3-Hydroxyacyl-CoA:NAD+ oxidoreductase,"-1:cpd00003:0:0:""NAD"";-1:cpd11718:0:0:""(S)-3-Hydroxyacyl-CoA"";1:cpd00004:0:0:""NADH"";1:cpd00067:0:0:""H+"";1:cpd11637:0:0:""3-Oxoacyl-CoA""",?
fail,generic reaction,rxn06090,R02055,H+ + ps_BS => CO2 + Phosphatidylethanolamine,WP_014948076.1,4.1.1.65,no,Phsophatidyl-L-serine carboxy-lyase,"-1:cpd00067:0:0:""H+"";-1:cpd11455:0:0:""ps_BS"";1:cpd00011:0:0:""CO2"";1:cpd11456:0:0:""Phosphatidylethanolamine""",?
fail,generic reaction,rxn06098,R02114,Sterol + Lecithin <=> 2-Lysolecithin + Steryl ester,WP_039228347.1;WP_014976917.1,3.1.1.4;2.3.1.43,no,Phosphatidylcholine:sterol O-acyltransferase,"-1:cpd00301:0:0:""Sterol"";-1:cpd11624:0:0:""Lecithin"";1:cpd02601:0:0:""2-Lysolecithin"";1:cpd11979:0:0:""Steryl ester""",?
fail,redundant w/rxn08975,rxn06108,R02163,NAD + QH2 <= NADH + H+ + Q,WP_014951193.1,1.6.5.9;1.6.5.3;1.6.5.8,no,NADH:ubiquinone oxidoreductase,"-1:cpd00003:0:0:""NAD"";-1:cpd11665:0:0:""QH2"";1:cpd00004:0:0:""NADH"";1:cpd00067:0:0:""H+"";1:cpd11669:0:0:""Q""",?
fail,generic reaction,rxn06253,R02820,NADP + Alditol <=> NADPH + H+ + Aldose,WP_039225720.1,1.1.1.21,no,Alditol:NADP+ 1-oxidoreductase,"-1:cpd00006:0:0:""NADP"";-1:cpd11734:0:0:""Alditol"";1:cpd00005:0:0:""NADPH"";1:cpd00067:0:0:""H+"";1:cpd11854:0:0:""Aldose""",?
fail,redundant w/rxn09499,rxn06377,R03425,Glycine + H+ + Lipoylprotein <=> CO2 + S-Aminomethyldihydrolipoylprotein,WP_049587964.1,1.4.4.2,no,glycine:lipoylprotein oxidoreductase (decarboxylating and acceptor-aminomethylating),"-1:cpd00033:0:0:""Glycine"";-1:cpd00067:0:0:""H+"";-1:cpd12005:0:0:""Lipoylprotein"";1:cpd00011:0:0:""CO2"";1:cpd11830:0:0:""S-Aminomethyldihydrolipoylprotein""",?
fail,redundant w/rxn01241,rxn06493,R03815,NAD + Dihydrolipolprotein <=> NADH + H+ + Lipoylprotein,WP_049586089.1,1.8.1.4,no,dihydrolipoylprotein:NAD+ oxidoreductase,"-1:cpd00003:0:0:""NAD"";-1:cpd12225:0:0:""Dihydrolipolprotein"";1:cpd00004:0:0:""NADH"";1:cpd00067:0:0:""H+"";1:cpd12005:0:0:""Lipoylprotein""",?
fail,not metabolic,rxn06538,R03940,10-Formyltetrahydrofolate + L-Methionyl-tRNA => H+ + Tetrahydrofolate + N-Formylmethionyl-tRNA,WP_039228916.1,2.1.2.9,no,10-Formyltetrahydrofolate:L-methionyl-tRNA N-formyltransferase,"-1:cpd00201:0:0:""10-Formyltetrahydrofolate"";-1:cpd12105:0:0:""L-Methionyl-tRNA"";1:cpd00067:0:0:""H+"";1:cpd00087:0:0:""Tetrahydrofolate"";1:cpd12285:0:0:""N-Formylmethionyl-tRNA""",?
fail,not metabolic,rxn06550,R03993,H2O + [Pyruvate kinase] phosphate => Phosphate + H+ + [Pyruvate kinase],WP_049585851.1,2.3.1.16;3.1.3.49,no,[Pyruvate kinase] phosphate phosphohydrolase,"-1:cpd00001:0:0:""H2O"";-1:cpd12396:0:0:""[Pyruvate kinase] phosphate"";1:cpd00009:0:0:""Phosphate"";1:cpd00067:0:0:""H+"";1:cpd12143:0:0:""[Pyruvate kinase]""",?
fail,redundant w/rxn09498,rxn06600,R04125,Tetrahydrofolate + S-Aminomethyldihydrolipoylprotein => NH3 + 5-10-Methylenetetrahydrofolate + Dihydrolipolprotein,WP_049587956.1,2.1.2.10,no,S-aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming),"-1:cpd00087:0:0:""Tetrahydrofolate"";-1:cpd11830:0:0:""S-Aminomethyldihydrolipoylprotein"";1:cpd00013:0:0:""NH3"";1:cpd00125:0:0:""5-10-Methylenetetrahydrofolate"";1:cpd12225:0:0:""Dihydrolipolprotein""",?
