PR Number,Commit,Reactions,Metabolites,Genes,Matches,Total,% Match
273,617bb1d473afda0efc943755eaa6867c316b2248,1468,1302,977,26,26,100.0
274,38765b67247d88b286d5ffe70250b3b5f85fd9d0,1468,1302,976,25,26,96.15
275,b6b2bfbb275ff48b3662e576254b54cf054e5208,1468,1302,976,25,26,96.15
276,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
277,4d8c1df0ebd79a74f7dc340dbee95e7cf314f0d1,1469,1303,977,25,26,96.15
278,7406978056ef2c395f10129d69ae31af4cecaad5,1459,1291,972,25,26,96.15
279,8431764759bf18bf4f4d71285179b7c6e4b5de56,1457,1290,972,25,26,96.15
280,5b2dd344ebc709d7218238e1545bf0be6a7c28ea,1455,1287,972,25,26,96.15
281,6c69b30daa40e7a245e4175c0ca48da71e1c611b,1447,1286,969,23,26,88.46
282,b8cf173c39308c107f3e18ee3cce8f240cb1978f,1447,1286,969,23,26,88.46
283,b2195663b78f6185c4e9d06e8016c9b0c84ed498,1446,1286,969,23,26,88.46
284,ea8d1435e3ab2c23345c202748bf764c80adcb79,1446,1286,971,23,26,88.46
285,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
286,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
287,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
288,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
289,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
290,cb5ff890568f47910440cf4dae94f416496e90d1,1463,1288,969,23,26,88.46
291,96f862fb55ab1ddd939de02c5051e75e56dc54ab,1461,1288,968,23,26,88.46
292,a07017d81d575e45d55490d100dd5b5e6bdffbac,1459,1288,967,23,26,88.46
293,07b296629e3e26dd02fd20cd9ca2cc3ad99b68d7,1458,1286,967,23,26,88.46
