,minimum,maximum
rxn02201_c0,0.0,0.0
rxn00351_c0,0.0,996.0079880159806
rxn07431_c0,0.0,0.0
rxn00836_c0,-996.9215110138673,0.0
rxn00423_c0,0.0,0.0
rxn00364_c0,-992.0319121916409,1000.0
rxn05561_c0,-1000.0,998.001998001998
rxn03408_c0,0.0,0.0
rxn02177_c0,0.0,0.0
rxn05250_c0,0.0,0.0
rxn00646_c0,0.0,998.0019980019977
rxn01673_c0,0.0,0.0
rxn00247_c0,0.0,1000.0
rxn02342_c0,0.0,0.0
rxn00022_c0,0.0,0.0
rxn02000_c0,0.0,5.990013982049959
rxn03239_c0,0.0,0.0
rxn05457_c0,0.0,0.0
rxn00107_c0,0.0,0.0
rxn12008_c0,0.0,0.0
rxn04070_c0,0.0,0.0
rxn00199_c0,0.0,0.0
rxn03433_c0,0.0,0.0
rxn10231_c0,0.0,0.0
rxn02944_c0,0.0,0.0
rxn01867_c0,0.0,994.0179620658982
rxn10270_c0,0.0,0.0
rxn12637_c0,-1.9980019980018824,0.0
rxn09240_c0,0.0,998.001998001998
rxn01219_c0,0.0,0.0
rxn00800_c0,-1.998001998001996,996.0079880159797
rxn01705_c0,0.0,6.559354203275891e-12
rxn09177_c0,0.0,0.0
rxn00211_c0,0.0,1.998001998001996
rxn00179_c0,0.0,1000.0
rxn00587_c0,0.0,0.0
rxn01210_c0,0.0,0.0
rxn00192_c0,0.0,0.0
rxn01218_c0,0.0,0.0
rxn05654_c0,0.0,13.966061902141632
rxn00545_c0,0.0,1000.0
rxn08807_c0,0.0,0.0
rxn02316_c0,0.0,0.0
rxn00501_c0,0.0,0.0
rxn10344_c0,0.0,0.0
rxn02320_c0,-7.968071872199588,0.0
rxn03384_c0,0.0,0.0
rxn02504_c0,0.0,1.998001998001996
rxn00262_c0,0.0,991.99195195188
rxn03173_c0,0.0,0.0
rxn03039_c0,0.0,1.9980019980004045
rxn10262_c0,0.0,0.0
rxn10126_c0,0.0,0.0
