rxn02342_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | R03270_c0 | -1.0 Lipoamide_c0 + -1.0 2_Hydroxyethyl_ThPP_c0 + 1.0 TPP_c0 + 1.0 S_Acetyldihydrolipoamide_c0
rxn02376_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | R03316_c0 | -1.0 Lipoamide_c0 + -1.0 3_Carboxy_1_hydroxypropyl_ThPP_c0 + 1.0 TPP_c0 + 1.0 S_Succinyldihydrolipoamide_c0
rxn00777_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | D_ribose_5_phosphate_aldose_ketose_isomerase_c0 | -1.0 ribose_5_phosphate_c0 + 1.0 D_Ribulose5_phosphate_c0
rxn00011_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | pyruvate_thiamin_diphosphate_acetaldehydetransferase_decarboxylating_c0 | -1.0 Pyruvate_c0 + -1.0 TPP_c0 + -1.0 H_plus__c0 + 1.0 CO2_c0 + 1.0 2_Hydroxyethyl_ThPP_c0
rxn00770_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | ATP_D_ribose_5_phosphate_diphosphotransferase_c0 | -1.0 ATP_c0 + -1.0 ribose_5_phosphate_c0 + 1.0 AMP_c0 + 1.0 H_plus__c0 + 1.0 PRPP_c0
rxn01200_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | Sedoheptulose_7_phosphate_D_glyceraldehyde_3_phosphate_glycolaldehyde_transferase_c0 | -1.0 Glyceraldehyde3_phosphate_c0 + -1.0 Sedoheptulose7_phosphate_c0 + 1.0 ribose_5_phosphate_c0 + 1.0 D_Xylulose5_phosphate_c0
rxn02185_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | 2_Acetolactate_pyruvate_lyase_carboxylating_c0 | -1.0 TPP_c0 + -1.0 ALCTT_c0 + 1.0 Pyruvate_c0 + 1.0 2_Hydroxyethyl_ThPP_c0
rxn00441_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | R00621_c0 | -1.0 2_Oxoglutarate_c0 + -1.0 TPP_c0 + -1.0 H_plus__c0 + 1.0 CO2_c0 + 1.0 3_Carboxy_1_hydroxypropyl_ThPP_c0
rxn07431_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | R07600_c0 | -1.0 Lipoamide_c0 + -1.0 2_Methyl_1_hydroxypropyl_TPP_c0 + 1.0 TPP_c0 + 1.0 S_2_Methylpropionyl_dihydrolipoamide_c0
rxn11567_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | beta_D_Galactosyl_1_4_beta_D_glucosylceramide_galactohydrolase_c0 | -1.0 H2O_c0 + -1.0 LacCer_c0 + 1.0 Galactose_c0 + 1.0 Glucocerebroside_c0
rxn03408_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | UDP_N_acetyl_D_glucosamine_undecaprenyl_diphospho_N_acetylmuramoyl_L_alanyl_gamma_D_glutamyl_meso_2_6_diaminopimeloyl_D_alanyl_D_alanine_4_beta_N_acetylglucosaminlytransferase_c0 | -1.0 UDP_N_acetylglucosamine_c0 + -1.0 Undecaprenyl_diphospho_N_acetylmuramoyl_L_alanyl_D_glutamyl_meso_2_6_diaminopimeloyl_D_alanyl_D_alanine_c0 + 1.0 UDP_c0 + 1.0 Undecaprenyl_diphospho_N_acetylmuramoyl__N_acetylglucosamine_L_ala_D_glu_meso_2_6_diaminopimeloyl_D_ala_D_ala_c0
