Class	Sub-class	Name	Role	Reaction	DRAM	Prokka	RASTtk	Intersection	2+ Annotations	Priority List	Majority Rule	Union	Bayesian Pangenome Core
-	-	CBSS-155864.1.peg.3753	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	rxn00085	1	1	1	1	1	1	1	1	0
-	-	COG0523	Carbonic anhydrase (EC 4.2.1.1)	rxn00102	1	1	1	0	1	1	1	1	0
-	-	COG0523	Dihydroorotase (EC 3.5.2.3)	rxn01465	0	1	0	0	1	1	1	1	0
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn00299	1	1	1	1	1	1	1	1	0
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn00302	1	1	1	1	1	1	1	1	0
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03174	1	1	1	1	1	1	1	1	0
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03419	1	1	1	1	1	1	1	1	0
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 1	rxn03421	1	1	1	1	1	1	1	1	0
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn00299	1	1	1	1	1	1	1	1	0
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn00302	1	1	1	1	1	1	1	1	0
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn03174	1	1	1	1	1	1	1	1	0
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn03419	1	1	1	1	1	1	1	1	0
-	-	COG0523	GTP cyclohydrolase I (EC 3.5.4.16) type 2	rxn03421	1	1	1	1	1	1	1	1	0
-	-	COG0523	LSU ribosomal protein L21p	rxn13782	0	0	0	0	0	1	1	1	0
-	-	COG0523	LSU ribosomal protein L27p	rxn13782	0	0	0	0	0	1	1	1	0
-	-	COG0523	LSU ribosomal protein L28p	rxn13782	0	0	0	0	0	1	1	1	0
-	-	COG0523	LSU ribosomal protein L31p	rxn13782	0	0	0	0	0	1	1	1	0
-	-	COG0523	LSU ribosomal protein L32p	rxn13782	0	0	0	0	0	1	1	1	0
-	-	COG0523	LSU ribosomal protein L33p	rxn13782	0	0	0	0	0	1	1	1	0
-	-	COG0523	LSU ribosomal protein L36p	rxn13782	0	0	0	0	0	1	1	1	0
-	-	COG0523	Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	rxn02834	1	0	1	0	1	0	0	1	0
-	-	COG0523	Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)	rxn02835	1	1	1	1	1	1	1	1	0
-	-	COG0523	Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	rxn02834	1	0	1	0	1	0	0	1	0
-	-	COG0523	Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	rxn02835	1	1	1	1	1	1	1	1	0
-	-	COG0523	SSU ribosomal protein S14p (S29e)	rxn13782	0	0	0	0	0	1	1	1	0
-	-	COG0523	Thioredoxin reductase (EC 1.8.1.9)	rxn05289	1	1	1	1	1	1	1	1	0
-	-	COG0523	Uracil phosphoribosyltransferase (EC 2.4.2.9)	rxn00711	1	1	1	1	1	1	1	1	0
-	-	COG0523_and_iron	D-mannonate oxidoreductase (EC 1.1.1.57)	rxn01775	1	0	1	0	1	1	1	1	0
-	-	ECF_S-components_-_Experimental	Substrate-specific component RibU of riboflavin ECF transporter	rxn05645	1	1	1	1	1	1	1	1	0
-	-	ECF_S-components_-_Experimental	Substrate-specific component TrpP of tryptophan ECF transporter	rxn05663	1	1	1	1	1	1	1	1	0
-	-	Nitric_oxide_synthase	Manganese superoxide dismutase (EC 1.15.1.1)	rxn00206	0	1	0	0	1	1	1	1	0
-	-	tRNA_modification_position_37	tRNA (Guanine37-N1) -methyltransferase (EC 2.1.1.31)	rxn13784	0	0	0	0	0	1	1	1	0
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Alanine racemase (EC 5.1.1.1)	rxn00283	1	1	1	1	1	1	1	1	0
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Alanine racemase, biosynthetic (EC 5.1.1.1)	rxn00283	1	1	1	1	1	1	1	1	0
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Alanine racemase, catabolic (EC 5.1.1.1)	rxn00283	1	1	1	1	1	1	1	1	0
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	rxn00806	1	1	1	1	1	1	1	1	0
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	rxn00903	1	1	1	1	1	1	1	1	0
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	rxn01575	1	1	1	1	1	1	1	1	0
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Cysteine desulfurase (EC 2.8.1.7)	rxn09310	0	0	0	0	0	1	1	1	0
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Cysteine desulfurase, mitochondrial precursor (EC 2.8.1.7)	rxn07292	1	1	1	0	1	1	1	1	0
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Glutamate-pyruvate aminotransferase (EC 2.6.1.2)	rxn00191	1	1	1	0	1	1	1	1	0
Amino Acids and Derivatives	Alanine, serine, and glycine	Alanine_biosynthesis	Valine--pyruvate aminotransferase (EC 2.6.1.66)	rxn00904	1	0	1	0	0	1	1	1	0
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	rxn00274	1	1	1	1	1	1	1	1	0
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	L-threonine 3-dehydrogenase (EC 1.1.1.103)	rxn01068	1	1	1	1	1	1	1	1	0
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	rxn00692	1	1	1	1	1	1	1	1	0
Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine_and_Serine_Utilization	2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)	rxn00274	1	1	1	1	1	1	1	1	0
