Reactions	DRAM	Prokka	RASTtk	Intersection	2+ Annotations	Priority List	Majority Rule	Union	Bayesian Pangenome Core
rxn03669	1	1	1	0	1	1	1	1	1
rxn12023	0	1	0	0	0	1	1	1	1
rxn19820	0	1	0	0	0	0	0	1	0
rxn13728	0	1	0	0	0	1	1	1	0
EX_cpd00001	2	2	2	2	2	2	2	2	0
rxn11746	0	0	0	0	0	0	0	0	1
rxn03424	1	0	1	0	0	1	1	1	0
rxn00675	1	1	1	1	1	1	1	1	1
rxn14397	0	1	0	0	0	0	0	1	0
rxn08001	0	1	0	0	0	0	0	1	0
rxn00747	1	1	1	1	1	1	1	1	0
rxn06096	1	1	1	0	1	1	1	1	1
rxn06595	0	1	0	0	0	1	1	1	1
rxn45425	0	1	0	0	0	0	1	1	0
rxn02449	1	1	1	1	1	1	1	1	0
rxn07278	0	0	0	0	0	0	0	0	1
rxn04339	0	0	0	0	0	0	0	0	1
rxn04313	0	0	0	0	0	0	0	0	1
rxn03402	1	1	1	0	0	1	1	1	1
rxn08130	0	1	0	0	0	0	1	1	0
rxn16828	1	0	1	0	0	1	1	1	0
rxn08767	0	1	0	0	0	0	0	1	0
rxn16794	1	1	1	0	1	1	1	1	0
rxn00472	0	0	0	0	0	0	0	0	1
rxn06449	1	1	1	0	1	1	1	1	0
rxn04831	1	1	1	0	1	1	1	1	1
rxn01045	1	1	1	1	1	1	1	1	0
rxn00193	0	0	0	0	0	0	0	1	0
rxn01243	0	1	0	0	0	0	0	1	0
rxn08017	0	0	0	0	0	1	1	1	0
rxn08022	0	0	0	0	0	1	1	1	0
rxn05386	0	0	0	0	0	0	0	1	0
rxn09106	0	1	0	0	1	0	1	1	0
rxn01486	0	0	0	0	0	0	0	1	0
rxn11828	0	1	0	0	0	1	1	1	1
rxn13960	0	0	0	0	0	0	0	0	1
rxn09109	0	1	0	0	1	0	1	1	0
rxn00806	1	1	1	1	1	1	1	1	0
rxn24718	1	1	1	1	1	1	1	1	0
rxn22482	0	1	0	0	0	1	1	1	0
rxn07666	0	0	0	0	0	0	0	0	1
rxn03043	1	1	1	0	1	1	1	1	0
rxn00859	1	1	1	1	1	1	1	1	0
rxn07573	0	0	0	0	0	0	0	0	1
rxn04271	0	0	0	0	0	0	0	1	0
rxn00225	1	1	1	1	1	1	1	1	0
rxn08043	1	1	1	1	1	1	1	1	0
rxn02166	0	1	0	0	1	1	1	1	0
rxn08821	0	1	0	0	1	1	1	1	0
rxn06432	1	1	1	0	1	1	1	1	0
rxn09199	0	1	0	0	1	0	1	1	0
rxn02768	0	0	0	0	0	0	0	0	1
rxn07113	0	0	0	0	0	0	0	0	1
rxn13667	0	1	0	0	0	0	0	1	0
rxn01930	1	1	1	1	1	1	1	1	0
rxn08192	1	1	1	1	1	1	1	1	0
rxn15213	1	1	1	0	1	0	0	1	0
rxn00292	0	0	0	0	0	1	1	1	0
rxn07664	0	0	0	0	0	0	0	0	1
rxn12013	0	1	0	0	0	1	1	1	0
rxn07230	0	0	0	0	0	0	0	1	0
rxn05454	0	0	0	0	0	0	0	1	0
rxn05127	0	0	0	0	0	0	0	1	0
rxn05339	1	1	1	0	1	1	1	1	0
rxn07998	0	1	0	0	0	0	0	1	0
rxn11612	0	1	0	0	1	0	0	1	0
rxn08806	0	1	0	0	1	1	1	1	0
rxn01807	0	0	0	0	0	0	0	1	0
rxn03901	1	1	1	1	1	1	1	1	0
rxn03568	0	0	0	0	0	0	0	0	1
rxn13741	0	1	0	0	0	0	0	1	0
rxn16615	0	1	0	0	0	1	1	1	0
rxn05413	0	0	0	0	0	0	0	1	0
rxn03839	1	0	1	0	0	1	1	1	0
rxn08839	0	1	0	0	1	1	1	1	0
rxn12033	0	1	0	0	0	1	1	1	1
rxn13971	0	0	0	0	0	1	1	1	0
rxn07628	1	0	1	0	0	1	1	1	1
rxn00346	0	1	0	0	0	1	1	1	0
