ID,KBase Model,ModelSEEDpy Model,Name,Equation
DM_cpd02701_c0,Y,N,Demand for S-Adenosyl-4-methylthio-2-oxobutanoate [c0],cpd02701_c0 --> 
DM_cpd11416_c0,Y,N,Demand for Biomass [c0],cpd11416_c0 --> 
DM_cpd15302_c0,Y,N,Demand for glycogen(n-1) [c0],cpd15302_c0 --> 
EX_cpd00020_e0,Y,N,Exchange for Pyruvate [e0],cpd00020_e0 <=> 
EX_cpd00029_e0,Y,N,Exchange for Acetate [e0],cpd00029_e0 <=> 
EX_cpd00047_e0,Y,N,Exchange for Formate [e0],cpd00047_e0 <=> 
EX_cpd00071_e0,Y,N,Exchange for Acetaldehyde [e0],cpd00071_e0 <=> 
EX_cpd00081_e0,Y,N,Exchange for Sulfite [e0],cpd00081_e0 <=> 
EX_cpd00161_e0,Y,N,Exchange for L-Threonine [e0],cpd00161_e0 <=> 
EX_cpd00221_e0,Y,N,Exchange for D-Lactate [e0],cpd00221_e0 <=> 
EX_cpd00227_e0,Y,N,Exchange for L-Homoserine [e0],cpd00227_e0 <=> 
EX_cpd00239_e0,Y,N,Exchange for H2S [e0],cpd00239_e0 <=> 
EX_cpd00268_e0,Y,N,Exchange for H2S2O3 [e0],cpd00268_e0 <=> 
EX_cpd00363_e0,Y,N,Exchange for Ethanol [e0],cpd00363_e0 <=> 
EX_cpd00418_e0,Y,N,Exchange for NO [e0],cpd00418_e0 <=> 
EX_cpd01414_e0,Y,N,Exchange for Tetrathionate [e0],cpd01414_e0 <=> 
EX_cpd11574_e0,Y,N,Exchange for Molybdate [e0],cpd11574_e0 <=> 
EX_cpd11640_e0,Y,N,Exchange for H2 [e0],cpd11640_e0 <=> 
