,source,target
0,rxn03182_c0,rxn00365_c0
1,rxn03182_c0,rxn00368_c0
2,rxn03182_c0,rxn00369_c0
3,rxn03182_c0,rxn09207_c0
4,rxn03182_c0,rxn09209_c0
5,rxn03182_c0,rxn01705_c0
6,rxn03182_c0,rxn09210_c0
7,rxn03182_c0,rxn09113_c0
8,rxn03182_c0,rxn09108_c0
9,rxn03182_c0,rxn01515_c0
10,rxn03182_c0,rxn01706_c0
11,rxn03182_c0,rxn10262_c0
12,rxn03182_c0,rxn10260_c0
13,rxn03182_c0,rxn10227_c0
14,rxn03182_c0,rxn16609_c0
15,rxn03182_c0,rxn02405_c0
16,rxn03182_c0,rxn03181_c0
17,rxn03182_c0,rxn10231_c0
18,rxn03182_c0,rxn09109_c0
19,rxn03182_c0,rxn10261_c0
20,rxn03182_c0,rxn10264_c0
21,rxn03182_c0,rxn09111_c0
22,rxn03182_c0,rxn10226_c0
23,rxn03182_c0,rxn10228_c0
24,rxn03182_c0,rxn09114_c0
25,rxn03182_c0,rxn09208_c0
26,rxn03182_c0,rxn09110_c0
27,rxn03182_c0,rxn00707_c0
28,rxn03182_c0,rxn01128_c0
29,rxn03182_c0,rxn01510_c0
30,rxn03182_c0,rxn03910_c0
31,rxn03182_c0,rxn03439_c0
32,rxn03182_c0,rxn09206_c0
33,rxn03182_c0,rxn09211_c0
34,rxn03182_c0,rxn09205_c0
35,rxn03182_c0,rxn10263_c0
36,rxn03182_c0,rxn09112_c0
37,rxn03182_c0,rxn10229_c0
38,rxn03182_c0,rxn10259_c0
39,rxn03182_c0,rxn08954_c0
40,rxn03182_c0,rxn10230_c0
41,rxn00830_c0,rxn03892_c0
42,rxn00830_c0,rxn04308_c0
43,rxn00830_c0,rxn01466_c0
44,rxn00830_c0,rxn09037_c0
45,rxn00830_c0,rxn01213_c0
46,rxn00830_c0,rxn03843_c0
47,rxn00830_c0,rxn00829_c0
48,rxn00830_c0,rxn03891_c0
49,rxn00830_c0,rxn05287_c0
50,rxn01073_c0,rxn08798_c0
51,rxn01073_c0,rxn08807_c0
52,rxn01073_c0,rxn08843_c0
53,rxn01073_c0,rxn08805_c0
54,rxn01073_c0,rxn08841_c0
55,rxn01073_c0,rxn08669_c0
56,rxn01073_c0,rxn08821_c0
57,rxn01073_c0,rxn08548_c0
58,rxn01073_c0,rxn08800_c0
59,rxn01073_c0,rxn08806_c0
60,rxn01073_c0,rxn08839_c0
61,rxn01073_c0,rxn08820_c0
62,rxn01073_c0,rxn09113_c0
63,rxn01073_c0,rxn09108_c0
64,rxn01073_c0,rxn08668_c0
65,rxn01073_c0,rxn08819_c0
66,rxn01073_c0,rxn10262_c0
67,rxn01073_c0,rxn10260_c0
68,rxn01073_c0,rxn08809_c0
69,rxn01073_c0,rxn09109_c0
70,rxn01073_c0,rxn08817_c0
71,rxn01073_c0,rxn08808_c0
72,rxn01073_c0,rxn10261_c0
73,rxn01073_c0,rxn10264_c0
74,rxn01073_c0,rxn09111_c0
75,rxn01073_c0,rxn09114_c0
76,rxn01073_c0,rxn09110_c0
77,rxn01073_c0,rxn08799_c0
78,rxn01073_c0,rxn00758_c0
79,rxn01073_c0,rxn00611_c0
80,rxn01073_c0,rxn08797_c0
81,rxn01073_c0,rxn08546_c0
82,rxn01073_c0,rxn08844_c0
83,rxn01073_c0,rxn00612_c0
84,rxn01073_c0,rxn08840_c0
85,rxn01073_c0,rxn10263_c0
86,rxn01073_c0,rxn08803_c0
87,rxn01073_c0,rxn09112_c0
88,rxn01073_c0,rxn08838_c0
89,rxn01073_c0,rxn08822_c0
90,rxn01073_c0,rxn08823_c0
91,rxn01073_c0,rxn10259_c0
92,rxn01073_c0,rxn08796_c0
93,rxn01073_c0,rxn08802_c0
94,rxn01073_c0,rxn08801_c0
95,rxn01073_c0,rxn08549_c0
96,rxn01073_c0,rxn08818_c0
97,rxn01073_c0,rxn08804_c0
98,rxn01073_c0,rxn00615_c0
99,rxn01073_c0,rxn08842_c0
100,EX_cpd00007_e0,rxn05468_c0
101,rxn03933_c0,rxn00117_c0
102,rxn03933_c0,rxn00293_c0
103,rxn03933_c0,rxn03408_c0
104,rxn03933_c0,rxn08583_c0
105,rxn03933_c0,rxn06729_c0
106,rxn03933_c0,rxn00368_c0
107,rxn03933_c0,rxn03903_c0
108,rxn03933_c0,rxn08618_c0
109,rxn03933_c0,rxn08619_c0
110,rxn03933_c0,rxn00461_c0
111,rxn03933_c0,rxn08620_c0
112,rxn03933_c0,rxn03159_c0
113,rxn03933_c0,rxn00460_c0
114,rxn03933_c0,rxn00712_c0
115,rxn03933_c0,bio1_biomass
116,rxn08783_c0,rxn11946_c0
117,rxn08783_c0,rxn00157_c0
118,rxn08783_c0,rxn00411_c0
119,rxn08783_c0,rxn00148_c0
120,rxn08783_c0,rxn00011_c0
121,rxn08783_c0,rxn00566_c0
122,rxn08783_c0,rxn01306_c0
123,rxn08783_c0,rxn00165_c0
124,rxn08783_c0,rxn01354_c0
125,rxn08783_c0,rxn02185_c0
126,rxn08783_c0,rxn08044_c0
127,rxn08783_c0,rxn00278_c0
128,rxn08783_c0,rxn01644_c0
129,rxn08783_c0,rxn00289_c0
130,rxn08783_c0,rxn00727_c0
131,rxn08783_c0,rxn01274_c0
132,rxn08783_c0,rxn00460_c0
133,rxn08783_c0,rxn03909_c0
134,rxn08783_c0,rxn10122_c0
135,rxn08783_c0,rxn40037_c0
136,rxn08783_c0,rxn14421_c0
137,rxn08783_c0,rxn00500_c0
138,rxn08783_c0,rxn00304_c0
139,rxn08783_c0,rxn01151_c0
140,rxn08783_c0,rxn04675_c0
141,rxn08783_c0,rxn02229_c0
142,rxn08783_c0,rxn11258_c0
143,rxn08783_c0,rxn00840_c0
144,rxn08783_c0,bio1_biomass
145,rxn08783_c0,rxn05226_c0
146,rxn08618_c0,rxn00117_c0
147,rxn08618_c0,rxn03408_c0
148,rxn08618_c0,rxn08583_c0
149,rxn08618_c0,rxn00368_c0
150,rxn08618_c0,rxn00213_c0
151,rxn08618_c0,rxn08619_c0
152,rxn08618_c0,rxn08620_c0
153,rxn08618_c0,rxn03159_c0
154,rxn08618_c0,rxn00460_c0
155,rxn08618_c0,rxn00712_c0
156,rxn08618_c0,rxn09225_c0
157,rxn08618_c0,rxn00211_c0
158,rxn08618_c0,rxn00214_c0
159,rxn09201_c0,rxn09209_c0
160,rxn02402_c0,rxn08310_c0
161,rxn02402_c0,rxn00213_c0
162,rxn02402_c0,rxn10663_c0
163,rxn02402_c0,rxn05736_c0
164,rxn02402_c0,rxn00711_c0
165,rxn02402_c0,rxn01675_c0
166,rxn02402_c0,rxn00770_c0
167,rxn02402_c0,rxn00104_c0
168,rxn02402_c0,rxn04308_c0
169,rxn02402_c0,rxn08312_c0
170,rxn02402_c0,rxn02155_c0
171,rxn02402_c0,rxn08308_c0
172,rxn02402_c0,rxn08306_c0
173,rxn02402_c0,rxn00789_c0
174,rxn02402_c0,rxn02834_c0
175,rxn02402_c0,rxn00175_c0
176,rxn02402_c0,rxn08311_c0
177,rxn02402_c0,rxn08333_c0
178,rxn02402_c0,rxn03843_c0
179,rxn02402_c0,rxn10225_c0
180,rxn02402_c0,rxn00300_c0
181,rxn02402_c0,rxn08015_c0
182,rxn02402_c0,rxn09310_c0
183,rxn02402_c0,rxn10223_c0
184,rxn02402_c0,rxn03264_c0
185,rxn02402_c0,rxn01213_c0
186,rxn02402_c0,rxn00065_c0
187,rxn02402_c0,rxn02175_c0
188,rxn02402_c0,rxn00791_c0
189,rxn02402_c0,rxn00340_c0
190,rxn02402_c0,rxn03537_c0
191,rxn02402_c0,rxn10224_c0
192,rxn02402_c0,rxn01362_c0
193,rxn02402_c0,rxn01466_c0
194,rxn02402_c0,rxn00122_c0
195,rxn02402_c0,rxn00105_c0
196,rxn02402_c0,rxn44539_c0
197,rxn02402_c0,rxn00293_c0
198,rxn02402_c0,rxn08020_c0
199,rxn02402_c0,rxn05034_c0
200,rxn02402_c0,rxn02201_c0
201,rxn02402_c0,rxn00695_c0
202,rxn02402_c0,rxn26361_c0
203,rxn02402_c0,rxn00379_c0
204,rxn02402_c0,rxn05287_c0
205,rxn02402_c0,rxn16574_c0
206,rxn02402_c0,rxn09240_c0
207,rxn02402_c0,rxn12868_c0
208,rxn02402_c0,rxn45996_c0
209,rxn02402_c0,rxn06937_c0
210,rxn02402_c0,rxn01669_c0
211,rxn02402_c0,rxn02305_c0
212,rxn02402_c0,rxn01791_c0
213,rxn02402_c0,rxn03893_c0
214,rxn02402_c0,rxn02989_c0
215,rxn02402_c0,rxn03892_c0
216,rxn02402_c0,rxn10221_c0
217,rxn02402_c0,rxn00139_c0
218,rxn02402_c0,rxn08014_c0
219,rxn02402_c0,rxn00790_c0
220,rxn02402_c0,rxn09176_c0
221,rxn02402_c0,rxn01434_c0
222,rxn02402_c0,rxn08021_c0
223,rxn02402_c0,rxn02897_c0
224,rxn02402_c0,rxn10222_c0
225,rxn02402_c0,rxn02405_c0
226,rxn02402_c0,rxn03891_c0
227,rxn02402_c0,rxn10220_c0
228,rxn02402_c0,rxn08017_c0
229,rxn02402_c0,rxn26021_c0
230,rxn02402_c0,rxn00001_c0
231,rxn02402_c0,rxn03907_c0
232,rxn02402_c0,rxn09037_c0
233,rxn02402_c0,rxn02988_c0
234,rxn02402_c0,rxn10052_c0
235,rxn02402_c0,rxn03916_c0
236,rxn02402_c0,rxn08309_c0
237,rxn02402_c0,rxn03039_c0
238,rxn02402_c0,rxn02831_c0
239,rxn02402_c0,rxn08307_c0
240,rxn02402_c0,bio1_biomass
241,rxn08810_c0,rxn08848_c0
242,rxn08810_c0,rxn08669_c0
243,rxn08810_c0,rxn08850_c0
244,rxn08810_c0,rxn08020_c0
245,rxn08810_c0,rxn08440_c0
246,rxn08810_c0,rxn08849_c0
247,rxn08810_c0,rxn08845_c0
