,source,target
0,rxn00416_c0,rxn00147_c0
1,rxn00416_c0,rxn16609_c0
2,rxn00416_c0,rxn10255_c0
3,rxn00416_c0,rxn05251_c0
4,rxn00416_c0,rxn09448_c0
5,rxn00416_c0,rxn00414_c0
6,rxn00416_c0,rxn00669_c0
7,rxn00416_c0,rxn01123_c0
8,rxn00416_c0,rxn08017_c0
9,rxn00416_c0,rxn08294_c0
10,rxn00416_c0,rxn12510_c0
11,rxn00416_c0,rxn08137_c0
12,rxn00416_c0,rxn01917_c0
13,rxn00416_c0,rxn02314_c0
14,rxn00416_c0,rxn05148_c0
15,rxn00416_c0,rxn01673_c0
16,rxn00416_c0,rxn01513_c0
17,rxn00416_c0,rxn05174_c0
18,rxn00416_c0,rxn02895_c0
19,rxn00416_c0,rxn00126_c0
20,rxn00416_c0,rxn05248_c0
21,rxn00416_c0,rxn08070_c0
22,rxn00416_c0,rxn05114_c0
23,rxn00416_c0,rxn06937_c0
24,rxn00416_c0,rxn00364_c0
25,rxn00416_c0,rxn00675_c0
26,rxn00416_c0,rxn01257_c0
27,rxn00416_c0,rxn05145_c0
28,rxn00416_c0,rxn01300_c0
29,rxn00416_c0,rxn00065_c0
30,rxn00416_c0,rxn00792_c0
31,rxn00416_c0,bio2
32,rxn00416_c0,rxn16583_c0
33,rxn00416_c0,rxn06672_c0
34,rxn00416_c0,rxn10344_c0
35,rxn00416_c0,rxn02937_c0
36,rxn00416_c0,rxn08136_c0
37,rxn00416_c0,rxn00247_c0
38,rxn00416_c0,rxn00646_c0
39,rxn00416_c0,rxn00545_c0
40,rxn00416_c0,rxn00412_c0
41,rxn00416_c0,rxn00342_c0
42,rxn00416_c0,rxn00085_c0
43,rxn00416_c0,rxn03409_c0
44,rxn00416_c0,rxn00772_c0
45,rxn00416_c0,rxn01343_c0
46,rxn00416_c0,rxn00555_c0
47,rxn00416_c0,rxn05153_c0
48,rxn00416_c0,rxn00709_c0
49,rxn00416_c0,rxn03164_c0
50,rxn00416_c0,rxn01100_c0
51,rxn00416_c0,rxn00800_c0
52,rxn00416_c0,rxn06864_c0
53,rxn00416_c0,rxn00105_c0
54,rxn00416_c0,rxn08021_c0
55,rxn00416_c0,rxn01275_c0
56,rxn00416_c0,rxn00100_c0
57,rxn00416_c0,rxn05249_c0
58,rxn00416_c0,rxn21729_c0
59,rxn00416_c0,rxn00615_c0
60,rxn00416_c0,rxn00216_c0
61,rxn00416_c0,rxn03047_c0
62,rxn00416_c0,rxn08924_c0
63,rxn00416_c0,rxn10052_c0
64,rxn00416_c0,rxn00947_c0
65,rxn00416_c0,rxn02155_c0
66,rxn00416_c0,rxn00695_c0
67,rxn00416_c0,rxn00285_c0
68,rxn00416_c0,rxn03141_c0
69,rxn00416_c0,rxn12645_c0
70,rxn00416_c0,rxn00148_c0
71,rxn00416_c0,rxn02008_c0
72,rxn00416_c0,rxn00303_c0
73,rxn00416_c0,rxn08015_c0
74,rxn00416_c0,rxn08296_c0
75,rxn00416_c0,rxn00138_c0
76,rxn00416_c0,rxn09450_c0
77,rxn00416_c0,rxn00097_c0
78,rxn00416_c0,rxn00851_c0
79,rxn00416_c0,rxn08192_c0
80,rxn00416_c0,rxn12512_c0
81,rxn00416_c0,rxn00674_c0
82,rxn00416_c0,rxn00239_c0
