id	name	equation	equation_with_names	lower_bound	upper_bound	gene_reaction_rule	subsystem
rxn02201_c0	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase [c0]	cpd00443_c0 + cpd02920_c0 --> cpd00012_c0 + cpd00067_c0 + cpd00683_c0	4-aminobenzoate + 2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate --> PPi + H+ + Dihydropteroate	0.0	1000.0	WP_049588708.1	
rxn00351_c0	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming) [c0]	cpd00002_c0 + cpd00033_c0 + cpd00506_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00042_c0 + cpd00067_c0	ATP + Glycine + gamma-Glutamylcysteine --> ADP + Phosphate + GSH + H+	0.0	1000.0	WP_049586041.1 and WP_049587105.1	
rxn07431_c0	R07600 [c0]	cpd14700_c0 + cpd14954_c0 <=> cpd00056_c0 + cpd02700_c0	2-Methyl-1-hydroxypropyl-TPP + Protein N6-(lipoyl)lysine [c0] <=> TPP + S-(2-Methylpropionyl)-dihydrolipoamide	-1000.0	1000.0	WP_049586269.1 and WP_049586267.1	
rxn00836_c0	IMP:diphosphate phospho-D-ribosyltransferase [c0]	cpd00103_c0 + cpd00226_c0 --> cpd00012_c0 + cpd00067_c0 + cpd00114_c0	PRPP + HYXN --> PPi + H+ + IMP	0.0	1000.0	WP_014949139.1	
rxn00423_c0	acetyl-CoA:L-serine O-acetyltransferase [c0]	cpd00022_c0 + cpd00054_c0 --> cpd00010_c0 + cpd00722_c0	Acetyl-CoA + L-Serine --> CoA + O-Acetyl-L-serine	0.0	1000.0	WP_049588012.1 and WP_049587097.1 and WP_049589131.1	
rxn00364_c0	ATP:CMP phosphotransferase [c0]	cpd00002_c0 + cpd00046_c0 + cpd00067_c0 --> cpd00008_c0 + cpd00096_c0	ATP + CMP + H+ --> ADP + CDP	0.0	1000.0	WP_014976668.1	
rxn05561_c0	Transport of dicarboxylates, extracellular [c0]	cpd00067_e0 + cpd00106_e0 <=> cpd00067_c0 + cpd00106_c0	H+ [e0] + Fumarate [e0] <=> H+ + Fumarate	-1000.0	1000.0	WP_014976833.1	
rxn03408_c0	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase [c0]	cpd00037_c0 + cpd03494_c0 <=> cpd00014_c0 + cpd03495_c0	UDP-N-acetylglucosamine + Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine <=> UDP + Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala	-1000.0	1000.0	WP_049586056.1	
rxn02177_c0	Isochorismate pyruvate-hydrolase [c0]	cpd00001_c0 + cpd00658_c0 --> cpd00020_c0 + cpd02566_c0	H2O + Isochorismate --> Pyruvate + 2,3-Dihydroxy-2,3-dihydrobenzoate	0.0	1000.0	WP_039225570.1 and WP_039225252.1	
rxn05250_c0	FACOAL160(ISO) [c0]	cpd00002_c0 + cpd00010_c0 + cpd11440_c0 --> cpd00012_c0 + cpd00018_c0 + cpd11441_c0	ATP + CoA + fa6 --> PPi + AMP + 14-Methylpentadecanoyl-CoA	0.0	1000.0	WP_049587062.1 or WP_049587639.1 or WP_014950005.1 or WP_049586144.1 or WP_049588937.1	
rxn00646_c0	L-glutamate:L-cysteine gamma-ligase (ADP-forming) [c0]	cpd00002_c0 + cpd00023_c0 + cpd00084_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd00506_c0	ATP + L-Glutamate + L-Cysteine --> ADP + Phosphate + H+ + gamma-Glutamylcysteine	0.0	1000.0	WP_080986367.1	
rxn01673_c0	ATP:dCDP phosphotransferase [c0]	cpd00002_c0 + cpd00533_c0 <=> cpd00008_c0 + cpd00356_c0	ATP + dCDP <=> ADP + dCTP	-1000.0	1000.0	WP_049588021.1	
rxn00247_c0	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming) [c0]	cpd00002_c0 + cpd00032_c0 --> cpd00008_c0 + cpd00011_c0 + cpd00061_c0	ATP + Oxaloacetate --> ADP + CO2 + Phosphoenolpyruvate	0.0	1000.0	WP_049585467.1	
rxn05625_c0	nitrite transport in via proton symport, reversible [c0]	cpd00067_e0 + cpd00075_e0 <=> cpd00067_c0 + cpd00075_c0	H+ [e0] + Nitrite [e0] <=> H+ + Nitrite	-1000.0	1000.0	WP_014949030.1 and WP_049588640.1	
rxn02342_c0	R03270 [c0]	cpd03049_c0 + cpd14954_c0 --> cpd00056_c0 + cpd00836_c0	2-Hydroxyethyl-TPP + Protein N6-(lipoyl)lysine [c0] --> TPP + S-Acetyldihydrolipoamide	0.0	1000.0	WP_049586085.1	
rxn00022_c0	maltose glucohydrolase [c0]	cpd00001_c0 + cpd00179_c0 --> 2.0 cpd00027_c0	H2O + Maltose --> 2.0 D-Glucose	0.0	1000.0	WP_049587157.1	
rxn02000_c0	dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase [c0]	cpd00521_c0 <=> cpd00522_c0	dTDP-4-oxo-6-deoxy-D-glucose <=> dTDP-4-oxo-L-rhamnose	-1000.0	1000.0	WP_049588897.1	
