ids,growth,status,essential_in_model,locus_tag_from_mut_lib
TK37_RS15545,1.010181036388809,optimal,False,MIT1002_00396
TK37_RS18435,-3.984913925658277e-14,optimal,True,MIT1002_02770
TK37_RS16305,6.392378462055679e-17,optimal,True,MIT1002_02193
TK37_RS00075,1.0101810363924475,optimal,False,MIT1002_03993
TK37_RS16670,-1.1998010061018126e-16,optimal,True,MIT1002_01855
TK37_RS20380,0.0,optimal,True,MIT1002_01402
TK37_RS02815,0.0,optimal,True,MIT1002_01016
TK37_RS07235,0.0,optimal,True,MIT1002_01427
TK37_RS04045,6.7646582778331585e-15,optimal,True,MIT1002_00861
TK37_RS00650,1.0101810363924493,optimal,False,MIT1002_03878
TK37_RS02020,1.0101810363924495,optimal,False,MIT1002_01348
TK37_RS17740,1.8700843622124707e-13,optimal,True,
TK37_RS05580,1.010181036392449,optimal,False,MIT1002_01668
TK37_RS05170,6.168249815202679e-16,optimal,True,MIT1002_04070
TK37_RS05985,1.010181036392444,optimal,False,MIT1002_02702
TK37_RS04680,1.0101810363924495,optimal,False,MIT1002_02065
TK37_RS03470,0.7934559347597091,optimal,False,MIT1002_03001
TK37_RS12785,1.0101810363924548,optimal,False,MIT1002_02794
TK37_RS18165,1.0101810363924466,optimal,False,MIT1002_02212
TK37_RS16635,1.0101810363924466,optimal,False,MIT1002_01848
TK37_RS09160,1.0101810363924466,optimal,False,MIT1002_02854
TK37_RS10600,1.0101810363924466,optimal,False,MIT1002_00250
TK37_RS15580,-8.917791542197316e-16,optimal,True,MIT1002_00389
TK37_RS19715,1.0101810363924353,optimal,False,MIT1002_00187
TK37_RS06000,-3.7240052456914966e-16,optimal,True,MIT1002_02699
TK37_RS16115,0.0,optimal,True,MIT1002_02639
TK37_RS05995,0.0,optimal,True,MIT1002_02700
TK37_RS13665,1.0101810363924455,optimal,False,MIT1002_02129
TK37_RS17425,1.0101810363924466,optimal,False,MIT1002_01553
TK37_RS08285,-4.039576234838782e-16,optimal,True,MIT1002_00733
TK37_RS03265,1.0101810363924446,optimal,False,
TK37_RS06295,1.0101810363924466,optimal,False,MIT1002_01784
TK37_RS14165,-2.2629654528068245e-15,optimal,True,MIT1002_00503
TK37_RS13215,-3.090826647039117e-15,optimal,True,MIT1002_03151
TK37_RS01640,1.0101810363924448,optimal,False,MIT1002_01272
TK37_RS11865,1.010181036392452,optimal,False,MIT1002_02547
TK37_RS13345,3.2329663628718644e-13,optimal,True,MIT1002_03274
TK37_RS17825,-2.0107057209558694e-28,optimal,True,MIT1002_01606
TK37_RS16290,0.0,optimal,True,MIT1002_02196
TK37_RS17600,1.0101810363924546,optimal,False,MIT1002_03321
