ids,growth,status
TK37_RS15545,1.010181036388809,optimal
TK37_RS18435,-3.9849139256582764e-14,optimal
TK37_RS16305,6.392378462055679e-17,optimal
TK37_RS00075,1.0101810363924475,optimal
TK37_RS16670,-1.1998010061018126e-16,optimal
TK37_RS20380,0.0,optimal
TK37_RS02815,0.0,optimal
TK37_RS07235,0.0,optimal
TK37_RS04045,6.764658277833159e-15,optimal
TK37_RS00650,1.0101810363924493,optimal
TK37_RS02020,1.0101810363924497,optimal
TK37_RS17740,1.8700843622124704e-13,optimal
TK37_RS05580,1.010181036392449,optimal
TK37_RS05170,6.168249815202679e-16,optimal
TK37_RS05985,1.010181036392444,optimal
TK37_RS04680,1.0101810363924497,optimal
TK37_RS03470,0.7934559347597091,optimal
TK37_RS12785,1.0101810363924548,optimal
TK37_RS18165,1.0101810363924466,optimal
TK37_RS16635,1.0101810363924466,optimal
TK37_RS09160,1.0101810363924466,optimal
TK37_RS10600,1.0101810363924466,optimal
TK37_RS15580,-8.917791542197316e-16,optimal
TK37_RS19715,1.0101810363924353,optimal
TK37_RS06000,-3.7240052456914966e-16,optimal
TK37_RS16115,0.0,optimal
TK37_RS05995,0.0,optimal
TK37_RS13665,1.0101810363924455,optimal
TK37_RS17425,1.0101810363924466,optimal
TK37_RS08285,-4.039576234838782e-16,optimal
TK37_RS03265,1.0101810363924446,optimal
TK37_RS06295,1.0101810363924466,optimal
TK37_RS14165,-2.2629654528068245e-15,optimal
TK37_RS13215,-3.0908266470391167e-15,optimal
TK37_RS01640,1.0101810363924448,optimal
TK37_RS11865,1.010181036392452,optimal
TK37_RS13345,3.232966362871864e-13,optimal
TK37_RS17825,-2.0107057209558696e-28,optimal
TK37_RS16290,0.0,optimal
TK37_RS17600,1.0101810363924546,optimal
TK37_RS05940,-2.688977792805759e-16,optimal
TK37_RS13155,1.0026378707138932,optimal
TK37_RS06805,-1.4120885916387026e-15,optimal
TK37_RS06010,0.0,optimal
TK37_RS17510,1.010181036392442,optimal
TK37_RS03730,1.010181036392455,optimal
TK37_RS20290,1.010181036392455,optimal
TK37_RS13275,1.010181036392455,optimal
TK37_RS14475,-1.2943660345546195e-13,optimal
TK37_RS05910,1.8997468160340796e-16,optimal
TK37_RS18925,1.0101810363924526,optimal
TK37_RS13225,1.010181036392464,optimal
TK37_RS07955,1.010181036392464,optimal
TK37_RS09780,1.0101810363924517,optimal
TK37_RS13200,1.0101810363924517,optimal
TK37_RS19275,1.0101810363924517,optimal
TK37_RS03535,1.0088010084642804,optimal
TK37_RS05800,8.909934834597302e-16,optimal
TK37_RS08540,1.0101810363924457,optimal
TK37_RS20110,1.0101810363924641,optimal
TK37_RS13235,1.0101810363924641,optimal
TK37_RS17935,1.0101810363924641,optimal
TK37_RS05250,1.0101810363924657,optimal
TK37_RS14415,6.18779269568401e-14,optimal
TK37_RS00345,1.0101810363924515,optimal
TK37_RS13895,1.0101810363924437,optimal
TK37_RS04250,1.0101810363924437,optimal
TK37_RS15645,1.0101810363924437,optimal
TK37_RS02510,1.0101606269715895,optimal
TK37_RS14880,-2.5237471481032054e-15,optimal
TK37_RS12125,1.0101810363924433,optimal
TK37_RS00560,4.177072283444959e-16,optimal
TK37_RS15285,0.0,optimal
TK37_RS05980,0.0,optimal
TK37_RS06390,1.0101810363924408,optimal
TK37_RS11325,-3.374956451864468e-16,optimal
TK37_RS10790,0.0,optimal
TK37_RS07675,1.0101810363924477,optimal
TK37_RS11030,0.8951993098422919,optimal
TK37_RS02870,1.1002233089950621e-13,optimal
TK37_RS11450,1.0101810363924462,optimal
TK37_RS17240,1.0101810363924406,optimal
TK37_RS07350,1.0101810363924406,optimal
TK37_RS07240,-1.0725119412443395e-15,optimal
TK37_RS02220,0.0,optimal
TK37_RS08320,0.0,optimal
TK37_RS17120,-1.1940363672424848e-28,optimal
TK37_RS01810,1.0101810363924382,optimal
TK37_RS03700,-3.153817707669692e-16,optimal
TK37_RS13975,0.0,optimal
TK37_RS15260,1.0101810363924442,optimal
TK37_RS09770,1.0090474664427194,optimal
TK37_RS08530,1.0101810363924462,optimal
TK37_RS16725,-1.2385586823646889e-15,optimal
TK37_RS02740,-8.884659665783215e-30,optimal
TK37_RS08215,1.0101810363924526,optimal
TK37_RS02630,1.0101810363924226,optimal
TK37_RS08185,1.0101810363924226,optimal
TK37_RS04830,-9.228820290565308e-16,optimal
TK37_RS11890,1.0101810363924468,optimal
TK37_RS18040,1.0101810363924226,optimal
TK37_RS16705,1.0101810363924226,optimal
TK37_RS02540,1.0101810363924226,optimal
TK37_RS16235,1.490126365151164e-15,optimal
TK37_RS02295,1.0101810363924524,optimal
TK37_RS15170,1.0101810363924226,optimal
TK37_RS17630,1.0101810363924226,optimal
TK37_RS17810,-9.228820290565308e-16,optimal
TK37_RS16245,-8.121007603429291e-16,optimal
TK37_RS11010,1.0101810363924475,optimal
TK37_RS10910,-2.2229180946108882e-15,optimal
TK37_RS15450,0.8686599273260991,optimal
TK37_RS01380,1.0101810363924655,optimal
TK37_RS01635,-1.5650764980711356e-14,optimal
TK37_RS04115,1.0101810363924415,optimal
TK37_RS13525,1.0101810363924446,optimal
TK37_RS06130,1.0101810363924446,optimal
TK37_RS18670,1.0101810363924446,optimal
TK37_RS17290,1.0101810363924446,optimal
TK37_RS17000,7.304810421365533e-16,optimal
TK37_RS06585,0.0,optimal
TK37_RS00500,1.0101810363924377,optimal
TK37_RS15795,1.0101810363924446,optimal
TK37_RS16075,7.760408259585744e-15,optimal
TK37_RS18655,1.5712647685080973e-15,optimal
TK37_RS09805,0.0,optimal
TK37_RS15985,0.955654053681084,optimal
TK37_RS03275,1.010181036392452,optimal
TK37_RS19920,1.0101810363924473,optimal
TK37_RS01710,1.0101810363924408,optimal
TK37_RS06515,0.9760635570995387,optimal
TK37_RS14390,1.0101810363924433,optimal
TK37_RS13340,-1.0254939293626157e-15,optimal
TK37_RS02185,1.0101810363924464,optimal
TK37_RS11755,1.0101810363924408,optimal
TK37_RS19800,1.0100789975325066,optimal
TK37_RS15605,4.669936762604758e-17,optimal
TK37_RS08230,1.0101810363924462,optimal
TK37_RS07925,0.9511583442960008,optimal
TK37_RS15980,0.9556540536810804,optimal
TK37_RS01455,1.010181036392436,optimal
TK37_RS01645,1.0101810363924426,optimal
TK37_RS03540,1.008801008464272,optimal
TK37_RS02810,-4.2507267710116e-16,optimal
TK37_RS04770,0.0,optimal
TK37_RS07785,1.010181036392449,optimal
TK37_RS06025,1.212381000897552e-15,optimal
TK37_RS08625,0.0,optimal
TK37_RS09180,1.010181036392451,optimal
TK37_RS07185,1.0101810363924415,optimal
TK37_RS02765,6.344944176817794e-17,optimal
TK37_RS05565,1.010181036392449,optimal
TK37_RS14925,1.0101810363924415,optimal
TK37_RS11660,1.0101810363924415,optimal
TK37_RS04720,9.64449020365667e-16,optimal
TK37_RS03860,-9.920471291086147e-16,optimal
TK37_RS03610,1.010181036392446,optimal
TK37_RS18240,1.0101810363924466,optimal
TK37_RS11290,1.4251663320493776e-14,optimal
TK37_RS07145,2.1148808916728083e-16,optimal
TK37_RS19740,1.0101810363924442,optimal
TK37_RS03525,1.0101810363924417,optimal
TK37_RS19985,1.0101810363924417,optimal
TK37_RS15800,1.0101810363924417,optimal
TK37_RS04960,0.4603218273606259,optimal
TK37_RS08125,1.0092021263929716,optimal
TK37_RS00585,1.0101810363924544,optimal
TK37_RS04280,1.0101810363924568,optimal
TK37_RS12765,1.0101810363924568,optimal
TK37_RS14255,1.0101810363924568,optimal
TK37_RS08055,1.0092122645765855,optimal
TK37_RS19910,1.010181036392442,optimal
TK37_RS04870,-5.520040490527757e-16,optimal
TK37_RS10490,1.0101810363924428,optimal
TK37_RS10785,-5.575738099475346e-16,optimal
TK37_RS04255,1.0101810363924428,optimal
TK37_RS17765,1.0101606269716172,optimal
TK37_RS07200,-1.913683137315946e-16,optimal
TK37_RS07130,1.010181036392447,optimal
TK37_RS15010,1.0101810363924713,optimal
TK37_RS03285,1.0101810363924713,optimal
TK37_RS06840,1.0101810363924713,optimal
TK37_RS01855,1.0101810363924713,optimal
TK37_RS10945,-5.575738099475346e-16,optimal
TK37_RS09455,1.010181036392446,optimal
TK37_RS04835,0.0,optimal
TK37_RS05570,1.0101810363924442,optimal
TK37_RS03435,1.5614623969707607e-12,optimal
TK37_RS18615,1.0101810363924477,optimal
TK37_RS16665,8.24959320065975e-13,optimal
TK37_RS04390,1.0101810363924422,optimal
TK37_RS17385,1.0101810363924713,optimal
TK37_RS10415,1.0101810363924713,optimal
TK37_RS06135,1.0101810363924713,optimal
TK37_RS01055,-9.000852499652352e-16,optimal
TK37_RS17265,1.0101810363924513,optimal
TK37_RS01925,0.0,optimal
TK37_RS06155,0.0,optimal
TK37_RS04220,1.010181036392446,optimal
TK37_RS05575,1.0101810363924713,optimal
TK37_RS18070,1.0101810363924713,optimal
TK37_RS16420,1.0101810363924713,optimal
TK37_RS14410,1.0101810363924713,optimal
TK37_RS18985,1.0101810363924713,optimal
TK37_RS08970,1.0101810363924713,optimal
TK37_RS09025,7.59048076082479e-17,optimal
TK37_RS14845,1.0101810363924502,optimal
TK37_RS17650,1.0101810363924713,optimal
TK37_RS17295,1.0101810363924713,optimal
TK37_RS03050,-2.314201538615412e-15,optimal
TK37_RS04055,0.8951993098423183,optimal
TK37_RS13265,1.010181036392408,optimal
TK37_RS10760,1.0046361057538271,optimal
TK37_RS01600,1.0101810363924475,optimal
TK37_RS13160,1.0026378707139922,optimal
TK37_RS17125,-8.493296289439673e-16,optimal
TK37_RS12485,1.0101810363924433,optimal
TK37_RS09605,1.010181036392445,optimal
TK37_RS14500,1.0101606269715915,optimal
TK37_RS07990,-5.113745311770293e-17,optimal
TK37_RS02500,0.0,optimal
TK37_RS15600,0.0,optimal
TK37_RS05520,1.0026378707138988,optimal
TK37_RS10075,1.0101810363924466,optimal
TK37_RS03035,1.010181036392445,optimal
TK37_RS05235,1.010181036392445,optimal
TK37_RS16350,-9.024121439427854e-16,optimal
TK37_RS15965,1.0101810363924562,optimal
TK37_RS00955,0.0,optimal
TK37_RS17260,1.0101810363924455,optimal
TK37_RS10080,1.010181036392445,optimal
TK37_RS15160,1.0101810363924488,optimal
TK37_RS01135,2.96985089161417e-15,optimal
TK37_RS12815,1.0101810363924524,optimal
TK37_RS00095,1.0101810363924375,optimal
TK37_RS01355,-1.1404108222956495e-16,optimal
TK37_RS04040,1.1142695059841822e-13,optimal
TK37_RS11370,1.010181036392447,optimal
TK37_RS12495,1.0101810363924375,optimal
TK37_RS16040,-7.827176952211252e-18,optimal
TK37_RS03130,1.010181036392452,optimal
TK37_RS18475,-7.117385757761316e-16,optimal
TK37_RS15610,0.0,optimal
TK37_RS10715,0.0,optimal
TK37_RS14950,1.0101810363924426,optimal
TK37_RS08580,2.540519280863804e-16,optimal
TK37_RS08785,1.0101810363924473,optimal
TK37_RS01715,1.0101810363924433,optimal
TK37_RS17010,-4.692712430753014e-16,optimal
TK37_RS19130,1.0101810363924446,optimal
TK37_RS19575,2.540519280863804e-16,optimal
TK37_RS15970,1.0101810363924513,optimal
TK37_RS19790,1.0101810363924433,optimal
TK37_RS10525,3.4106083095922357e-16,optimal
TK37_RS04060,0.9505699520594467,optimal
TK37_RS12985,1.010181036392449,optimal
TK37_RS15835,1.0101810363924384,optimal
TK37_RS18850,1.0101810363924384,optimal
TK37_RS04945,0.4603218273606099,optimal
TK37_RS04425,1.010181036392445,optimal
TK37_RS10495,1.0101810363924544,optimal
TK37_RS12600,1.0072975264885586,optimal
TK37_RS16150,-5.387317601086307e-16,optimal
TK37_RS08145,1.0101810363924448,optimal
TK37_RS17390,1.0101810363924413,optimal
TK37_RS19750,1.2544902044208871e-15,optimal
TK37_RS05685,1.0101810363924293,optimal
TK37_RS06765,1.0101810363927735,optimal
TK37_RS12310,1.0101810363924386,optimal
TK37_RS17360,1.0068549210887126,optimal
TK37_RS00735,1.010181036388809,optimal
TK37_RS16730,-1.0237416975576997e-17,optimal
TK37_RS04735,1.009847785756368,optimal
TK37_RS11955,1.0101810363924457,optimal
TK37_RS00325,1.0101810363924486,optimal
TK37_RS17025,5.1620851804233145e-17,optimal
TK37_RS12045,1.01018103639245,optimal
TK37_RS03715,1.0101810363924417,optimal
TK37_RS05460,1.0101810363924417,optimal
TK37_RS15990,0.955654053680121,optimal
TK37_RS11915,1.01018103639243,optimal
TK37_RS16680,-2.8652292553221826e-16,optimal
TK37_RS20130,-3.2898435101022703e-15,optimal
TK37_RS01435,1.0101810363924386,optimal
TK37_RS12160,-4.169413919797781e-16,optimal
TK37_RS05595,1.0101810363924573,optimal
TK37_RS11825,1.0101810363924408,optimal
TK37_RS15975,0.9556540536810748,optimal
TK37_RS04935,0.46032182736063837,optimal
TK37_RS07245,-1.4991856889553583e-16,optimal
TK37_RS10920,0.0,optimal
TK37_RS09130,1.010181036392443,optimal
TK37_RS12810,2.2194740758273505e-14,optimal
TK37_RS04130,1.0101810363924604,optimal
TK37_RS07005,1.0101810363924328,optimal
TK37_RS06610,0.0,optimal
TK37_RS10590,1.010181036392442,optimal
TK37_RS02670,1.0101810363924328,optimal
TK37_RS14860,-5.3823916706482125e-15,optimal
TK37_RS12090,1.0101810363924224,optimal
TK37_RS13690,4.122361005877932e-17,optimal
TK37_RS11015,1.0101810363924517,optimal
TK37_RS13185,1.0101810363924328,optimal
TK37_RS17790,1.0101810363924328,optimal
TK37_RS18295,1.0101810363924328,optimal
TK37_RS19905,-6.900792623434063e-17,optimal
TK37_RS03165,1.0101810363924448,optimal
TK37_RS01650,-1.4081998731952533e-14,optimal
TK37_RS18130,7.951399508462206e-14,optimal
TK37_RS16225,1.010181036392328,optimal
TK37_RS16385,0.0,optimal
TK37_RS17945,2.965486287485093e-14,optimal
TK37_RS13110,1.010181036392442,optimal
TK37_RS04420,1.0101810363924344,optimal
TK37_RS19260,1.0101810363924344,optimal
TK37_RS08290,-9.591638881764698e-16,optimal
TK37_RS01510,1.0101810363924442,optimal
TK37_RS13750,1.0091833139466941,optimal
TK37_RS20115,-3.2037761939879557e-16,optimal
TK37_RS00400,1.0101810363923989,optimal
TK37_RS17080,1.0101810363924328,optimal
TK37_RS14325,-4.842617881053404e-16,optimal
TK37_RS00305,1.0918825941680889e-29,optimal
TK37_RS16050,0.0,optimal
TK37_RS17155,0.0,optimal
TK37_RS11885,0.0,optimal
TK37_RS00210,1.0101810363924457,optimal
TK37_RS14835,1.0101810363924282,optimal
TK37_RS00330,1.010181036392447,optimal
TK37_RS08830,1.010181036392447,optimal
TK37_RS14230,1.010181036392447,optimal
TK37_RS12615,1.010181036392447,optimal
TK37_RS12110,1.0101810363924377,optimal
TK37_RS17085,1.0101810363924377,optimal
TK37_RS13970,1.6003647754575475e-16,optimal
TK37_RS04710,1.0101810363924426,optimal
TK37_RS00935,1.0101810363924377,optimal
TK37_RS00615,1.0101810363922905,optimal
TK37_RS19165,1.0101810363924268,optimal
TK37_RS17530,1.0101810363924268,optimal
TK37_RS03325,1.0101810363924268,optimal
TK37_RS12270,1.0101810363924268,optimal
TK37_RS01930,1.0101810363924268,optimal
TK37_RS07400,1.0101810363924268,optimal
TK37_RS20175,1.0101810363924268,optimal
TK37_RS16735,0.9510376987373993,optimal
TK37_RS14120,1.7245431567109387e-16,optimal
TK37_RS17035,0.0,optimal
TK37_RS12760,1.0101810363924504,optimal
TK37_RS20050,-2.397979765343874e-16,optimal
TK37_RS12610,1.0101810363924475,optimal
TK37_RS03910,-3.9714692651581306e-16,optimal
TK37_RS08655,0.0,optimal
TK37_RS03060,1.0101810363924424,optimal
TK37_RS06030,-9.935373905837362e-17,optimal
TK37_RS15995,0.924397132993812,optimal
TK37_RS15625,1.0101810363924182,optimal
TK37_RS04950,0.46032182736062177,optimal
TK37_RS07135,1.0101810363924393,optimal
TK37_RS00395,1.0101810363924684,optimal
TK37_RS06600,2.544660254569904e-16,optimal
TK37_RS13060,0.0,optimal
TK37_RS05730,0.0,optimal
TK37_RS18875,1.0101810363924495,optimal
TK37_RS15780,1.0101810363924684,optimal
TK37_RS02750,1.0101810363924684,optimal
TK37_RS11050,1.0101810363924684,optimal
TK37_RS14220,1.0101810363924684,optimal
TK37_RS03640,1.0101810363924684,optimal
TK37_RS17005,1.0101810363924684,optimal
TK37_RS06635,2.544660254569904e-16,optimal
TK37_RS14575,1.0101810363924437,optimal
TK37_RS07380,1.010181036392449,optimal
TK37_RS15570,0.0,optimal
TK37_RS03560,0.0,optimal
TK37_RS02180,1.0101810363924506,optimal
TK37_RS11830,1.010181036392449,optimal
TK37_RS04405,1.010181036392449,optimal
TK37_RS15275,1.010181036392449,optimal
TK37_RS17520,1.010181036392449,optimal
TK37_RS19095,3.771340476309004e-16,optimal
TK37_RS18525,-6.05261703241631e-29,optimal
TK37_RS11020,1.0101810363924393,optimal
TK37_RS00085,1.010181036392449,optimal
TK37_RS04845,3.771340476309004e-16,optimal
TK37_RS18625,1.0101810363924453,optimal
TK37_RS10915,-2.7920144658320007e-16,optimal
TK37_RS02480,0.0,optimal
TK37_RS14335,0.0,optimal
TK37_RS18815,1.0101810363924422,optimal
TK37_RS03465,0.9323778883381245,optimal
TK37_RS08380,1.0101810363924777,optimal
TK37_RS01080,1.0101810363924404,optimal
TK37_RS16140,2.2050182514581653e-16,optimal
TK37_RS06490,0.8686599273260858,optimal
TK37_RS01765,1.0101810363924617,optimal
TK37_RS11005,1.0101810363924473,optimal
TK37_RS02175,1.0101810363924473,optimal
TK37_RS12630,1.0101810363924473,optimal
TK37_RS01375,0.0,optimal
TK37_RS14350,1.0101810363926271,optimal
TK37_RS15735,1.0101810363924448,optimal
TK37_RS16295,-2.978243336454605e-16,optimal
TK37_RS15550,0.0,optimal
TK37_RS06630,0.0,optimal
TK37_RS03720,1.0101810363924408,optimal
TK37_RS02210,1.0101810363924408,optimal
TK37_RS02830,1.0101810363924408,optimal
TK37_RS04545,1.0101810363924408,optimal
TK37_RS12170,-5.175157255922345e-16,optimal
TK37_RS14285,1.0101810363924428,optimal
TK37_RS07120,1.010181036388809,optimal
TK37_RS02545,1.0101810363924417,optimal
TK37_RS01430,-7.282706334795993e-16,optimal
TK37_RS06620,0.0,optimal
TK37_RS18065,1.0101810363924477,optimal
TK37_RS07410,1.0101810363924486,optimal
TK37_RS12770,3.857629793418712e-16,optimal
TK37_RS08605,1.010181036392447,optimal
TK37_RS17990,-6.018025668285419e-17,optimal
TK37_RS03415,-2.559007736475566e-12,optimal
TK37_RS12805,2.7771426012907693e-13,optimal
TK37_RS02040,0.0,optimal
TK37_RS19375,0.0,optimal
TK37_RS03330,1.0101810363924457,optimal
TK37_RS13230,1.0101810363924395,optimal
TK37_RS05630,1.0101810363924395,optimal
TK37_RS04095,1.0101810363924395,optimal
TK37_RS06900,1.0101810363924395,optimal
TK37_RS14525,1.0101810363924395,optimal
TK37_RS16875,-3.3132047332084026e-17,optimal
TK37_RS06640,0.0,optimal
TK37_RS06735,1.927068355079634e-29,optimal
TK37_RS17695,1.0101810363924502,optimal
TK37_RS12505,1.0101810363924457,optimal
TK37_RS16985,1.0101810363924457,optimal
TK37_RS09195,1.0101810363924457,optimal
TK37_RS06495,2.65054093009308e-14,optimal
TK37_RS05020,1.010181036392435,optimal
TK37_RS04315,0.9505699520594219,optimal
TK37_RS00755,1.010181036392439,optimal
TK37_RS04630,1.0101784851697457,optimal
TK37_RS12790,6.453798395097368e-16,optimal
TK37_RS10875,1.0101810363924477,optimal
TK37_RS17750,1.0101810363924488,optimal
TK37_RS15775,1.0101810363924477,optimal
TK37_RS02835,5.886553934013238e-17,optimal
TK37_RS14240,1.009183313946733,optimal
TK37_RS08990,1.0101810363924328,optimal
TK37_RS10770,1.0101810363924442,optimal
TK37_RS02190,1.0101810363924442,optimal
TK37_RS10830,1.0101810363924442,optimal
TK37_RS11430,1.0101810363924442,optimal
TK37_RS15730,1.0101810363924442,optimal
TK37_RS04635,1.0101784851697362,optimal
TK37_RS13650,1.010181036392449,optimal
TK37_RS01120,-4.2400579191936424e-16,optimal
TK37_RS17430,1.0101810363924468,optimal
TK37_RS14480,1.0101810363924362,optimal
TK37_RS03810,-3.5249473564837604e-16,optimal
TK37_RS13295,1.0101810363924428,optimal
TK37_RS12305,1.0101810363924453,optimal
TK37_RS19730,1.010160626971592,optimal
TK37_RS04365,1.010181036392451,optimal
TK37_RS13260,1.0101810363924462,optimal
TK37_RS19170,1.0101810363924433,optimal
TK37_RS07500,1.0101810363924433,optimal
TK37_RS15765,1.0101810363924433,optimal
TK37_RS17755,1.0072670871856217,optimal
TK37_RS12220,1.0101810363924466,optimal
TK37_RS06150,1.010181036392452,optimal
TK37_RS17325,-4.661327536141786e-16,optimal
TK37_RS01260,0.0,optimal
