pathway,name,reaction_id
EMP,Glucose-6-phosphate isomerase,rxn00558_c0
EMP,Phosphofructokinase,rxn00545_c0
EMP,Fructose diphosphate aldolase,rxn00786_c0
EMP,Triose-phosphate isomerase,rxn00747_c0
EMP,Glyceraldehyde-3-phosphate dehydrogenase,rxn00781_c0
EMP,3-phosphoglycerate kinase,rxn01100_c0
EMP,Phosphoglycerate mutase,rxn01106_c0
EMP,Enolase,rxn00459_c0
EMP,Pyruvate kinase,rxn00148_c0
ED,D-glucose-6-phosphate:NADP+ 1-oxidoreductase,rxn00604_c0
ED,6-Phospho-D-glucono-1-5-lactone lactonohydrolase,rxn01476_c0
ED,6-phosphogluconate dehydratase,rxn01477_c0
ED,2-keto-3-deoxy-6-phosphogluconate aldolase,rxn03884_c0
Glyoxylate Shunt,Isocitrate lyase,rxn00336_c0
Glyoxylate Shunt,Malate synthase,rxn00330_c0
