sim_name,oxygen_flux,uptake,uptake_norm,co2,co2_norm,organic_c,organic_c_norm,biomass,biomass_norm,cue,gge
glc_medium_inf_o2_fba,-22.517147282345977,60.0,1,25.355,0.423,0.031,0.001,34.614,0.577,0.5774118595374563,0.5768930793968443
glc_medium_inf_o2_pfba,-22.51714728234513,60.0,1,25.355,0.423,0.031,0.001,34.614,0.577,0.5774118595371671,0.5768930793965541
glc_medium_real_o2_fba,-20.0,60.0,1,22.642,0.377,5.139,0.086,32.219,0.537,0.6226366225047824,0.5369844513221903
glc_medium_real_o2_pfba,-20.0,60.0,1,22.642,0.377,5.139,0.086,32.219,0.537,0.6226366225047805,0.5369844513221624
ace_medium_inf_o2_fba,-30.911331781469674,60.0,1,33.114,0.552,0.024,0.0,26.862,0.448,0.448102019716608,0.4476994189993594
ace_medium_inf_o2_pfba,-30.91133178146858,60.0,1,33.114,0.552,0.024,0.0,26.862,0.448,0.44810201971662267,0.44769941899937393
ace_medium_real_o2_fba,-20.0,37.919,1,21.357,0.563,0.015,0.0,16.548,0.436,0.43678296312668996,0.43639053210317436
ace_medium_real_o2_pfba,-20.0,37.919,1,21.357,0.563,0.015,0.0,16.548,0.436,0.43678296312667175,0.43639053210315615
glc_heavy_mix_medium_inf_o2_fba,-25.285615780896805,60.002,1,27.914,0.465,0.029,0.0,32.059,0.534,0.5347774341836815,0.5342969592715021
glc_heavy_mix_medium_inf_o2_pfba,-25.285615780897796,60.002,1,27.914,0.465,0.029,0.0,32.059,0.534,0.5347774341836644,0.534296959271485
glc_heavy_mix_medium_real_o2_fba,-20.0,49.271,1,22.216,0.451,0.024,0.0,27.031,0.549,0.5491023787879652,0.5486090335187722
glc_heavy_mix_medium_real_o2_pfba,-20.0,49.271,1,22.216,0.451,0.024,0.0,27.031,0.549,0.5491023787879559,0.5486090335187628
ace_heavy_mix_medium_inf_o2_fba,-28.05195914361645,59.998,1,30.471,0.508,0.027,0.0,29.501,0.492,0.4921353740765543,0.4916932112523117
ace_heavy_mix_medium_inf_o2_pfba,-28.051959143617665,59.998,1,30.471,0.508,0.027,0.0,29.501,0.492,0.4921353740765335,0.49169321125229093
ace_heavy_mix_medium_real_o2_fba,-20.0,43.651,1,21.791,0.499,0.02,0.0,21.841,0.5,0.5007985667617856,0.5003486204252283
ace_heavy_mix_medium_real_o2_pfba,-20.0,43.651,1,21.791,0.499,0.02,0.0,21.841,0.5,0.5007985667617771,0.5003486204252199
