,empty,mbm,l1,promm_no_c,mbm_Glucose ,l1_Glucose ,mbm_Acetate,l1_Acetate,mbm_3-hydroxybutyrate,l1_Alanine,l1_Proline,l1_Glycerol-3-phosphate,l1_DHPS (dihydroxypropanesulfonate),l1_Tyrosine,l1_Glutamate,l1_Valine,promm_no_c_Leucine,promm_no_c_Isoleucine,promm_no_c_Valine,promm_no_c_3-methyl-2-oxobutanoic acid
H2O,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ATP,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NAD,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NADP,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CoA,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
FAD,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Pyridoxal phosphate,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
S-Adenosyl-L-methionine,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Heme,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Mn2+,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Zn2+,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
GSH,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Sulfate,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TPP,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Cu2+,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Ca2+,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Tetrahydrofolate,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Cl-,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
