organism,metabolite,met_id
Crocosphaera watsonii,glutamic acid,cpd00023
Crocosphaera watsonii,ectoine,cpd03727
Crocosphaera watsonii,arginine,
Crocosphaera watsonii,malic acid,
Crocosphaera watsonii,glucose 6-phosphate,
Crocosphaera watsonii,putrescine,
Crocosphaera watsonii,glutathione,
Crocosphaera watsonii,pyridoxine,
Crocosphaera watsonii,uridine,
Crocosphaera watsonii,serine,
Emiliania huxleyi,DHPS,cpd23538
Micromonas commoda,taurine,
Prochlorococcus marinus,glutamic acid,cpd00023
Prochlorococcus marinus,alanine,cpd00035
Prochlorococcus marinus,valine,cpd00156
Prochlorococcus marinus,aspartate,cpd00041
Prochlorococcus marinus,isoleucine,cpd00322
Prochlorococcus marinus,phenylalanine,cpd00066
Prochlorococcus marinus,leucine,cpd00107
Prochlorococcus marinus,glycine,cpd00033
Prochlorococcus marinus,4-aminobenzoic acid,cpd00443
Prochlorococcus marinus,proline,cpd00129
Synechococcus,isoleucine,cpd00322
Thalassiosira pseudonana,sn-glycerol 3-phosphate,
