metabolite,cycle,x,y,conc_mmol
Cadmium[e],0,1,1,1000.0
HCO3[e],0,1,1,1000.0
Molybdenum[e],0,1,1,1000.0
Selenate[e],0,1,1,1000.0
cpd00001_e0,0,1,1,1000.0
cpd00009_e0,0,1,1,1000.0
cpd00011_e0,0,1,1,1000.0
cpd00012_e0,0,1,1,1000.0
cpd00013_e0,0,1,1,1000.0
cpd00029_e0,0,1,1,1000.0
cpd00034_e0,0,1,1,1000.0
cpd00036_e0,0,1,1,1000.0
cpd00048_e0,0,1,1,1000.0
cpd00051_e0,0,1,1,1000.0
cpd00054_e0,0,1,1,1000.0
cpd00058_e0,0,1,1,1000.0
cpd00063_e0,0,1,1,1000.0
cpd00067_e0,0,1,1,1000.0
cpd00085_e0,0,1,1,1000.0
cpd00099_e0,0,1,1,1000.0
cpd00106_e0,0,1,1,1000.0
cpd00108_e0,0,1,1,1000.0
cpd00116_e0,0,1,1,1000.0
cpd00129_e0,0,1,1,1000.0
cpd00142_e0,0,1,1,1000.0
cpd00149_e0,0,1,1,1000.0
cpd00205_e0,0,1,1,1000.0
cpd00239_e0,0,1,1,1000.0
cpd00254_e0,0,1,1,1000.0
cpd00971_e0,0,1,1,1000.0
cpd09695_e0,0,1,1,1000.0
cpd10515_e0,0,1,1,1000.0
Cadmium[e],1,1,1,1000.0
HCO3[e],1,1,1,1000.0
Molybdenum[e],1,1,1,1000.0
Selenate[e],1,1,1,1000.0
cpd00001_e0,1,1,1,1000.0
cpd00009_e0,1,1,1,1000.0
cpd00011_e0,1,1,1,1000.0
cpd00012_e0,1,1,1,1000.0
cpd00013_e0,1,1,1,1000.0
cpd00029_e0,1,1,1,1000.0
cpd00034_e0,1,1,1,1000.0
cpd00036_e0,1,1,1,1000.0
cpd00048_e0,1,1,1,1000.0
cpd00051_e0,1,1,1,1000.0
cpd00054_e0,1,1,1,1000.0
cpd00058_e0,1,1,1,1000.0
cpd00063_e0,1,1,1,1000.0
cpd00067_e0,1,1,1,1000.0
cpd00085_e0,1,1,1,1000.0
cpd00099_e0,1,1,1,1000.0
cpd00106_e0,1,1,1,1000.0
cpd00108_e0,1,1,1,1000.0
cpd00116_e0,1,1,1,1000.0
cpd00129_e0,1,1,1,1000.0
cpd00142_e0,1,1,1,1000.0
cpd00149_e0,1,1,1,1000.0
cpd00205_e0,1,1,1,1000.0
cpd00239_e0,1,1,1,1000.0
cpd00254_e0,1,1,1,1000.0
cpd00971_e0,1,1,1,1000.0
cpd09695_e0,1,1,1,1000.0
cpd10515_e0,1,1,1,1000.0
Cadmium[e],2,1,1,1000.0
HCO3[e],2,1,1,1000.0
Molybdenum[e],2,1,1,1000.0
Photon[e],2,1,1,0.0010470779323
Selenate[e],2,1,1,1000.0
