cycle,iSO595v6,iHS4156
0,1e-07,1e-10
1,1e-07,1e-10
2,1e-07,1e-10
3,1e-07,1e-10
4,1e-07,1e-10
5,1e-07,1e-10
6,1e-07,1e-10
7,1e-07,1e-10
8,1.0000999711e-07,1e-10
9,1.000351678e-07,1e-10
10,1.0007543604e-07,1e-10
11,1.0013072156e-07,1e-10
12,1.0020093634e-07,1e-10
13,1.0028598554e-07,1e-10
14,1.0038576749e-07,1e-10
15,1.0050017364e-07,1e-10
16,1.0062908849e-07,1e-10
17,1.0077238959e-07,1e-10
18,1.0092994743e-07,1e-10
19,1.0110162541e-07,1e-10
20,1.012872798e-07,1e-10
21,1.014867596e-07,1e-10
22,1.0169990659e-07,1e-10
23,1.0192655514e-07,1e-10
24,1.0216653224e-07,1e-10
25,1.0241965739e-07,1e-10
26,1.0268574254e-07,1e-10
27,1.0296459202e-07,1e-10
28,1.0325600249e-07,1e-10
29,1.0355976289e-07,1e-10
30,1.0387565436e-07,1e-10
31,1.0420345023e-07,1e-10
32,1.0454291592e-07,1e-10
33,1.0489380897e-07,1e-10
34,1.0525587894e-07,1e-10
35,1.0562886743e-07,1e-10
36,1.0601250808e-07,1e-10
37,1.064065265e-07,1e-10
38,1.0681064034e-07,1e-10
39,1.0722455927e-07,1e-10
40,1.0764798498e-07,1e-10
41,1.0808061129e-07,1e-10
42,1.085221241e-07,1e-10
43,1.0897220155e-07,1e-10
44,1.0943051399e-07,1e-10
45,1.0989672415e-07,1e-10
46,1.1037048719e-07,1e-10
47,1.1085145082e-07,1e-10
48,1.1133925544e-07,1e-10
49,1.1183353425e-07,1e-10
50,1.1233391345e-07,1e-10
51,1.1284001236e-07,1e-10
52,1.1335144363e-07,1e-10
53,1.1386781345e-07,1e-10
54,1.1438872171e-07,1e-10
55,1.1491376229e-07,1e-10
56,1.1544252328e-07,1e-10
57,1.1597458719e-07,1e-10
58,1.1650953128e-07,1e-10
59,1.1704692784e-07,1e-10
60,1.1758634442e-07,1e-10
61,1.1812734423e-07,1e-10
62,1.1866948639e-07,1e-10
63,1.1921232629e-07,1e-10
64,1.1975541595e-07,1e-10
65,1.2029830435e-07,1e-10
66,1.2084053783e-07,1e-10
67,1.2138166042e-07,1e-10
68,1.2192121429e-07,1e-10
69,1.2245874007e-07,1e-10
70,1.2299377732e-07,1e-10
71,1.2352586492e-07,1e-10
72,1.2405454146e-07,1e-10
73,1.2457934571e-07,1e-10
74,1.2509981701e-07,1e-10
75,1.2561549573e-07,1e-10
76,1.2612592371e-07,1e-10
77,1.2663064466e-07,1e-10
