cycle,COBRAModel,iHS4156
0,1e-07,1e-07
1,1e-07,1e-07
2,1e-07,1e-07
3,1e-07,1e-07
4,1e-07,1e-07
5,1e-07,1e-07
6,1e-07,1e-07
7,1e-07,1e-07
8,1.0000999711e-07,1e-07
9,1.000351678e-07,1e-07
10,1.0007543604e-07,1e-07
11,1.0013072156e-07,1e-07
12,1.0020093634e-07,1e-07
13,1.0028598554e-07,1e-07
14,1.0038576749e-07,1e-07
15,1.0050017364e-07,1e-07
16,1.0062908849e-07,1e-07
17,1.0077238959e-07,1e-07
18,1.0092994743e-07,1e-07
19,1.0110162541e-07,1e-07
20,1.012872798e-07,1e-07
21,1.014867596e-07,1e-07
22,1.0169990659e-07,1e-07
23,1.0192655514e-07,1e-07
24,1.0216653224e-07,1e-07
25,1.0241965739e-07,1e-07
26,1.0268574254e-07,1e-07
27,1.0296459202e-07,1e-07
28,1.0325600249e-07,1e-07
29,1.0355976289e-07,1e-07
30,1.0387565436e-07,1e-07
31,1.0420345023e-07,1e-07
32,1.0454291592e-07,1e-07
33,1.0489380897e-07,1e-07
34,1.0525587894e-07,1e-07
35,1.0562886743e-07,1e-07
36,1.0601250808e-07,1e-07
37,1.064065265e-07,1e-07
38,1.0681064034e-07,1e-07
39,1.0722455927e-07,1e-07
40,1.0764798498e-07,1e-07
41,1.0808061129e-07,1e-07
42,1.085221241e-07,1e-07
43,1.0897220155e-07,1e-07
44,1.0943051399e-07,1e-07
45,1.0989672415e-07,1e-07
46,1.1037048719e-07,1e-07
47,1.1085145082e-07,1e-07
48,1.1133925544e-07,1e-07
49,1.1183353425e-07,1e-07
50,1.1233391345e-07,1e-07
51,1.1284001236e-07,1e-07
52,1.1335144363e-07,1e-07
53,1.1386781345e-07,1e-07
54,1.1438872171e-07,1e-07
55,1.1491376229e-07,1e-07
56,1.1544252328e-07,1e-07
57,1.1597458719e-07,1e-07
58,1.1650953128e-07,1e-07
59,1.1704692784e-07,1e-07
60,1.1758634442e-07,1e-07
61,1.1812734423e-07,1e-07
62,1.1866948639e-07,1e-07
63,1.1921232629e-07,1e-07
64,1.1975541595e-07,1e-07
