o2_style,o2_level,n_substrates,r,p,ci_low,ci_high
bounds,1.0,19,0.0113,0.9635399999634069,-0.3875,0.3985
bounds,10.0,22,0.3621,0.09772295047747316,-0.0769,0.7078
bounds,20.0,22,0.3555,0.104396755452543,-0.0762,0.6966
bounds,30.0,22,0.8321,1.5738288927239922e-06,0.6867,0.9794
bounds,40.0,22,0.9987,1.692813279653156e-27,0.9965,1.0
bounds,50.0,22,1.0,4.2942363875928636e-48,1.0,1.0
percent,10.0,22,0.4351,0.04300253501505448,0.0385,0.7266
percent,20.0,22,0.4138,0.05558616926173463,0.0535,0.725
percent,30.0,22,0.4045,0.061890221670698034,0.0756,0.6867
percent,40.0,22,0.4706,0.027087152745982564,0.1808,0.7177
percent,50.0,22,0.5468,0.008455408102911365,0.2891,0.7575
percent,60.0,22,0.6381,0.0013956008006174643,0.407,0.8049
percent,70.0,22,0.7282,0.00012180485011071029,0.5202,0.8588
percent,80.0,22,0.8167,3.5340864962317197e-06,0.6425,0.9174
percent,90.0,22,0.9246,7.808596290635733e-10,0.8464,0.9693
percent,100.0,22,1.0,4.2942363875928636e-48,1.0,1.0
