interval_start_h,interval_end_h,f,exchange_reaction,bound_value,flux_at_optimum,is_binding
0,2,0.1,EX_cpd00024_e0,3.104650023348199e-06,-3.104650023348199e-06,True
0,2,0.1,EX_cpd00018_e0,2.9316184318452086e-07,-2.9316184318452086e-07,True
0,2,0.1,EX_cpd00111_e0,2.2100684322137056e-06,-2.2100684322137056e-06,True
0,2,0.1,EX_cpd00080_e0,1.0700810533866586e-06,-1.0700810533866586e-06,True
0,2,0.1,EX_cpd00477_e0,4.4559101490480396e-07,-4.4559101490480396e-07,True
0,2,0.1,EX_cpd00091_e0,6.359579400040044e-07,-6.359579400040044e-07,True
0,2,0.5,EX_cpd00024_e0,1.5523250116740992e-05,-1.5523250116740992e-05,True
0,2,0.5,EX_cpd00018_e0,1.4658092159226043e-06,-1.4658092159226043e-06,True
0,2,0.5,EX_cpd00111_e0,1.1050342161068529e-05,-1.1050342161068529e-05,True
0,2,0.5,EX_cpd00080_e0,5.350405266933293e-06,-5.350405266933293e-06,True
0,2,0.5,EX_cpd00477_e0,2.2279550745240194e-06,-2.2279550745240194e-06,True
0,2,0.5,EX_cpd00091_e0,3.1797897000200213e-06,-3.1797897000200213e-06,True
0,2,1.0,EX_cpd00024_e0,3.1046500233481984e-05,-3.1046500233481984e-05,True
0,2,1.0,EX_cpd00018_e0,2.9316184318452085e-06,-2.9316184318452085e-06,True
0,2,1.0,EX_cpd00111_e0,2.2100684322137058e-05,-2.2100684322137058e-05,True
0,2,1.0,EX_cpd00080_e0,1.0700810533866586e-05,-1.0700810533866586e-05,True
0,2,1.0,EX_cpd00477_e0,4.455910149048039e-06,-4.455910149048039e-06,True
0,2,1.0,EX_cpd00091_e0,6.3595794000400425e-06,-6.3595794000400425e-06,True
0,2,5.0,EX_cpd00024_e0,0.00015523250116740995,-0.00015523250116740995,True
0,2,5.0,EX_cpd00018_e0,1.465809215922604e-05,-1.465809215922604e-05,True
0,2,5.0,EX_cpd00111_e0,0.0001105034216106853,-0.0001105034216106853,True
0,2,5.0,EX_cpd00080_e0,5.3504052669332926e-05,-5.3504052669332926e-05,True
0,2,5.0,EX_cpd00477_e0,2.2279550745240193e-05,-2.2279550745240193e-05,True
0,2,5.0,EX_cpd00091_e0,3.179789700020021e-05,-3.179789700020021e-05,True
0,2,10.0,EX_cpd00024_e0,0.0003104650023348199,-0.0003104650023348199,True
0,2,10.0,EX_cpd00018_e0,2.931618431845208e-05,-2.931618431845208e-05,True
0,2,10.0,EX_cpd00111_e0,0.0002210068432213706,-0.0002210068432213706,True
0,2,10.0,EX_cpd00080_e0,0.00010700810533866585,-0.00010700810533866585,True
0,2,10.0,EX_cpd00477_e0,4.4559101490480386e-05,-4.4559101490480386e-05,True
0,2,10.0,EX_cpd00091_e0,6.359579400040043e-05,-6.359579400040043e-05,True
2,4,0.1,EX_cpd00169_e0,1.627361791335555e-06,-1.627361791335555e-06,True
2,4,0.1,EX_cpd00018_e0,1.464158075849367e-07,-1.464158075849367e-07,True
2,4,0.1,EX_cpd00395_e0,1.1108894408759679e-06,-1.1108894408759679e-06,True
2,4,0.1,EX_cpd01311_e0,2.7738009759695718e-06,-0.0,False
2,4,0.1,EX_cpd00023_e0,0.00010931577782066076,-0.00010931577782066076,True
2,4,0.1,EX_cpd00111_e0,6.424410598266634e-06,-6.424410598266634e-06,True
2,4,0.1,EX_cpd00477_e0,4.47573438594327e-08,-4.47573438594327e-08,True
2,4,0.1,EX_cpd00061_e0,1.003078858905952e-06,-1.003078858905952e-06,True
2,4,0.1,EX_cpd00091_e0,4.442065009367396e-07,-4.442065009367396e-07,True
2,4,0.5,EX_cpd00169_e0,8.136808956677774e-06,-8.136808956677774e-06,True
2,4,0.5,EX_cpd00018_e0,7.320790379246835e-07,-7.320790379246835e-07,True
2,4,0.5,EX_cpd00395_e0,5.554447204379839e-06,-5.554447204379839e-06,True
2,4,0.5,EX_cpd01311_e0,1.3869004879847859e-05,-0.0,False
2,4,0.5,EX_cpd00023_e0,0.0005465788891033039,-0.0005465788891033039,True
2,4,0.5,EX_cpd00111_e0,3.2122052991333166e-05,-3.2122052991333166e-05,True
2,4,0.5,EX_cpd00477_e0,2.2378671929716343e-07,-2.2378671929716343e-07,True
2,4,0.5,EX_cpd00061_e0,5.01539429452976e-06,-5.01539429452976e-06,True
2,4,0.5,EX_cpd00091_e0,2.221032504683698e-06,-2.221032504683698e-06,True
2,4,1.0,EX_cpd00169_e0,1.627361791335555e-05,-1.627361791335555e-05,True
2,4,1.0,EX_cpd00018_e0,1.464158075849367e-06,-1.464158075849367e-06,True
2,4,1.0,EX_cpd00395_e0,1.1108894408759677e-05,-1.1108894408759677e-05,True
2,4,1.0,EX_cpd01311_e0,2.7738009759695718e-05,-0.0,False
2,4,1.0,EX_cpd00023_e0,0.0010931577782066079,-0.0010931577782066079,True
2,4,1.0,EX_cpd00111_e0,6.424410598266633e-05,-6.424410598266633e-05,True
2,4,1.0,EX_cpd00477_e0,4.4757343859432687e-07,-4.4757343859432687e-07,True
2,4,1.0,EX_cpd00061_e0,1.003078858905952e-05,-1.003078858905952e-05,True
2,4,1.0,EX_cpd00091_e0,4.442065009367396e-06,-4.442065009367396e-06,True
2,4,2.0,EX_cpd00169_e0,3.25472358267111e-05,-3.25472358267111e-05,True
2,4,2.0,EX_cpd00018_e0,2.928316151698734e-06,-2.928316151698734e-06,True
2,4,2.0,EX_cpd00395_e0,2.2217788817519355e-05,-2.2217788817519355e-05,True
2,4,2.0,EX_cpd01311_e0,5.5476019519391436e-05,-0.0,False
2,4,2.0,EX_cpd00023_e0,0.0021863155564132157,-0.0021863155564132157,True
2,4,2.0,EX_cpd00111_e0,0.00012848821196533266,-0.00012848821196533266,True
2,4,2.0,EX_cpd00477_e0,8.951468771886537e-07,-8.951468771886537e-07,True
2,4,2.0,EX_cpd00061_e0,2.006157717811904e-05,-2.006157717811904e-05,True
2,4,2.0,EX_cpd00091_e0,8.884130018734792e-06,-8.884130018734792e-06,True
2,4,5.0,EX_cpd00169_e0,8.136808956677775e-05,-8.136808956677775e-05,True
2,4,5.0,EX_cpd00018_e0,7.320790379246835e-06,-7.320790379246835e-06,True
2,4,5.0,EX_cpd00395_e0,5.554447204379838e-05,-5.554447204379838e-05,True
2,4,5.0,EX_cpd01311_e0,0.0001386900487984786,-0.0,False
2,4,5.0,EX_cpd00023_e0,0.005465788891033038,-0.005465788891033038,True
2,4,5.0,EX_cpd00111_e0,0.0003212205299133317,-0.0003212205299133317,True
2,4,5.0,EX_cpd00477_e0,2.2378671929716342e-06,-2.2378671929716342e-06,True
2,4,5.0,EX_cpd00061_e0,5.015394294529761e-05,-5.015394294529761e-05,True
2,4,5.0,EX_cpd00091_e0,2.221032504683698e-05,-2.221032504683698e-05,True
2,4,10.0,EX_cpd00169_e0,0.0001627361791335555,-0.0001627361791335555,True
2,4,10.0,EX_cpd00018_e0,1.464158075849367e-05,-1.464158075849367e-05,True
2,4,10.0,EX_cpd00395_e0,0.00011108894408759676,-0.00011108894408759676,True
2,4,10.0,EX_cpd01311_e0,0.0002773800975969572,-0.0,False
2,4,10.0,EX_cpd00023_e0,0.010931577782066076,-0.010931577782066076,True
2,4,10.0,EX_cpd00111_e0,0.0006424410598266634,-0.0006424410598266634,True
2,4,10.0,EX_cpd00477_e0,4.4757343859432685e-06,-4.4757343859432685e-06,True
2,4,10.0,EX_cpd00061_e0,0.00010030788589059522,-0.00010030788589059522,True
2,4,10.0,EX_cpd00091_e0,4.442065009367396e-05,-4.442065009367396e-05,True
4,6,0.1,EX_cpd02711_e0,3.379982122731416e-06,-3.379982122731416e-06,True
4,6,0.1,EX_cpd00024_e0,3.058490061153659e-07,-3.058490061153659e-07,True
4,6,0.1,EX_cpd00018_e0,6.467918832521432e-07,-6.467918832521432e-07,True
4,6,0.1,EX_cpd00111_e0,5.996848055289516e-06,-5.996848055289516e-06,True
4,6,0.1,EX_cpd00477_e0,7.989378380618544e-07,-7.989378380618544e-07,True
4,6,0.1,EX_cpd00091_e0,1.5377677594137438e-07,-1.5377677594137438e-07,True
4,6,0.5,EX_cpd02711_e0,1.689991061365708e-05,-1.689991061365708e-05,True
4,6,0.5,EX_cpd00024_e0,1.5292450305768292e-06,-1.5292450305768292e-06,True
4,6,0.5,EX_cpd00018_e0,3.2339594162607155e-06,-3.2339594162607155e-06,True
4,6,0.5,EX_cpd00111_e0,2.9984240276447582e-05,-2.9984240276447582e-05,True
4,6,0.5,EX_cpd00477_e0,3.994689190309271e-06,-3.994689190309271e-06,True
4,6,0.5,EX_cpd00091_e0,7.688838797068718e-07,-7.688838797068718e-07,True
4,6,1.0,EX_cpd02711_e0,3.379982122731416e-05,-3.379982122731416e-05,True
4,6,1.0,EX_cpd00024_e0,3.0584900611536584e-06,-3.0584900611536584e-06,True
4,6,1.0,EX_cpd00018_e0,6.467918832521431e-06,-6.467918832521431e-06,True
4,6,1.0,EX_cpd00111_e0,5.9968480552895165e-05,-5.9968480552895165e-05,True
4,6,1.0,EX_cpd00477_e0,7.989378380618542e-06,-7.989378380618542e-06,True
4,6,1.0,EX_cpd00091_e0,1.5377677594137436e-06,-1.5377677594137436e-06,True
4,6,2.0,EX_cpd02711_e0,6.759964245462832e-05,-6.759964245462832e-05,True
4,6,2.0,EX_cpd00024_e0,6.116980122307317e-06,-6.116980122307317e-06,True
4,6,2.0,EX_cpd00018_e0,1.2935837665042862e-05,-1.2935837665042862e-05,True
4,6,2.0,EX_cpd00111_e0,0.00011993696110579033,-0.00011993696110579033,True
4,6,2.0,EX_cpd00477_e0,1.5978756761237085e-05,-1.5978756761237085e-05,True
4,6,2.0,EX_cpd00091_e0,3.075535518827487e-06,-3.075535518827487e-06,True
4,6,5.0,EX_cpd02711_e0,0.0001689991061365708,-0.0001689991061365708,True
4,6,5.0,EX_cpd00024_e0,1.5292450305768292e-05,-1.5292450305768292e-05,True
4,6,5.0,EX_cpd00018_e0,3.233959416260716e-05,-3.233959416260716e-05,True
4,6,5.0,EX_cpd00111_e0,0.0002998424027644758,-0.0002998424027644758,True
4,6,5.0,EX_cpd00477_e0,3.9946891903092716e-05,-3.9946891903092716e-05,True
4,6,5.0,EX_cpd00091_e0,7.688838797068717e-06,-7.688838797068717e-06,True
4,6,10.0,EX_cpd02711_e0,0.0003379982122731416,-0.0003379982122731416,True
4,6,10.0,EX_cpd00024_e0,3.0584900611536584e-05,-3.0584900611536584e-05,True
4,6,10.0,EX_cpd00018_e0,6.467918832521432e-05,-6.467918832521432e-05,True
4,6,10.0,EX_cpd00111_e0,0.0005996848055289516,-0.0005996848055289516,True
4,6,10.0,EX_cpd00477_e0,7.989378380618543e-05,-7.989378380618543e-05,True
4,6,10.0,EX_cpd00091_e0,1.5377677594137434e-05,-1.5377677594137434e-05,True
6,8,0.1,EX_cpd02711_e0,1.3716323345065248e-06,-1.3716323345065248e-06,True
6,8,0.1,EX_cpd00169_e0,2.6354013618609895e-06,-2.6354013618609895e-06,True
6,8,0.1,EX_cpd00018_e0,2.59980199212652e-07,-2.59980199212652e-07,True
6,8,0.1,EX_cpd00395_e0,2.478045499436078e-06,-2.478045499436078e-06,True
6,8,0.1,EX_cpd01311_e0,3.4525966203950234e-06,-0.0,False
6,8,0.1,EX_cpd00023_e0,0.0007271763380083264,-0.0007271763380083264,True
6,8,0.1,EX_cpd00111_e0,4.21681594824074e-07,-4.21681594824074e-07,True
6,8,0.1,EX_cpd00061_e0,3.819902275751103e-06,-3.819902275751103e-06,True
