interval_start_h,interval_end_h,f,growth_rate,status
0,2,0.0,0.0,optimal
0,2,0.1,9.43324525201929e-07,optimal
0,2,0.5,4.031056888621386e-06,optimal
0,2,1.0,8.014391433251072e-06,optimal
0,2,2.0,,time_limit
0,2,5.0,3.6798639338049606e-05,optimal
0,2,10.0,7.292765577815144e-05,optimal
2,4,0.0,0.0,optimal
2,4,0.1,6.05307680208436e-06,optimal
2,4,0.5,2.7729058508750486e-05,optimal
2,4,1.0,5.507452849481427e-05,optimal
2,4,2.0,0.00010971520627771186,optimal
2,4,5.0,0.0002738350482052263,optimal
2,4,10.0,0.0005476700964104867,optimal
4,6,0.0,0.0,optimal
4,6,0.1,1.9638512965013257e-06,optimal
4,6,0.5,8.488747171443747e-06,optimal
4,6,1.0,1.5828263186501294e-05,optimal
4,6,2.0,3.164417697356029e-05,optimal
4,6,5.0,7.857596281372732e-05,optimal
4,6,10.0,0.00015655153420943035,optimal
6,8,0.0,0.0,optimal
6,8,0.1,2.5236287103875017e-05,optimal
6,8,0.5,0.00012451288140310807,optimal
6,8,1.0,0.00024841564463223175,optimal
6,8,2.0,0.0004968312892643616,optimal
6,8,5.0,0.0012420782231609036,optimal
6,8,10.0,0.0024841564463217564,optimal
8,10,0.0,0.0,optimal
8,10,0.1,,time_limit
8,10,0.5,0.0002389642824393999,optimal
8,10,1.0,0.0004779285648787249,optimal
8,10,2.0,0.0009558571297576054,optimal
8,10,5.0,0.0023896428243909518,optimal
8,10,10.0,0.004779285648798795,optimal
10,12,0.0,0.0,optimal
10,12,0.1,1.63978423623873e-05,optimal
10,12,0.5,8.116765454974755e-05,optimal
10,12,1.0,0.00016205446283851832,optimal
10,12,2.0,0.00032376456939801034,optimal
10,12,5.0,0.0008094114234946868,optimal
10,12,10.0,0.0016188228469895458,optimal
12,14,0.0,0.0,optimal
12,14,0.1,1.3468114860970961e-06,optimal
12,14,0.5,5.788555342329591e-06,optimal
12,14,1.0,1.1573910398065045e-05,optimal
12,14,2.0,2.1590447637343993e-05,optimal
12,14,5.0,5.3782970561725784e-05,optimal
12,14,10.0,0.00010693370387183362,optimal
14,16,0.0,0.0,optimal
14,16,0.1,1.1541622863276168e-06,optimal
14,16,0.5,5.008850652687938e-06,optimal
14,16,1.0,9.831687901977785e-06,optimal
14,16,2.0,1.8277622871019446e-05,optimal
14,16,5.0,4.544998179490376e-05,optimal
14,16,10.0,9.063915969780081e-05,optimal
16,18,0.0,0.0,optimal
16,18,0.1,8.399189322732616e-08,optimal
16,18,0.5,3.896281991144616e-07,optimal
16,18,1.0,7.229725543304255e-07,optimal
16,18,2.0,1.438090419530452e-06,optimal
16,18,5.0,3.3416395895969658e-06,optimal
16,18,10.0,6.185930779046778e-06,optimal
18,20,0.0,0.0,optimal
18,20,0.1,1.2454855739815723e-06,optimal
18,20,0.5,5.2922965707252256e-06,optimal
18,20,1.0,1.052497229025259e-05,optimal
18,20,2.0,1.9639275725869074e-05,optimal
18,20,5.0,4.875158445917769e-05,optimal
18,20,10.0,9.712222967500143e-05,optimal
20,22,0.0,0.0,optimal
20,22,0.1,6.77794848565204e-06,optimal
20,22,0.5,3.0022390678780926e-05,optimal
20,22,1.0,5.97541738237105e-05,optimal
20,22,2.0,0.00011860140403879043,optimal
20,22,5.0,0.00029577218172532416,optimal
20,22,10.0,0.00059154436345065,optimal
22,24,0.0,0.0,optimal
22,24,0.1,2.3811646112857574e-06,optimal
22,24,0.5,1.0959369956444568e-05,optimal
22,24,1.0,2.0432891691857898e-05,optimal
22,24,2.0,4.0673136159863375e-05,optimal
22,24,5.0,0.00010114898931895728,optimal
22,24,10.0,0.00020179400386970665,optimal
