ID	KBase Model	ModelSEEDpy Model	Name	Equation
rxn01851_c0	Y	Y	rxn01851_c0	4-aminobutanal:NAD+ 1-oxidoreductase_c0	cpd00001_c0 + cpd00003_c0 + cpd00434_c0 --> cpd00004_c0 + 2.0 cpd00067_c0 + cpd00281_c0
rxn05339_c0	Y	Y	rxn05339_c0	(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase_c0	cpd00006_c0 + cpd11478_c0 <=> cpd00005_c0 + cpd11488_c0
rxn00649_c0	Y	Y	rxn00649_c0	O3-acetyl-L-serine:hydrogen-sulfide 2-amino-2-carboxyethyltransferase_c0	cpd00239_c0 + cpd00722_c0 --> cpd00029_c0 + cpd00084_c0
rxn00641_c0	Y	Y	rxn00641_c0	GTP:alpha-D-mannose-1-phosphate guanylyltransferase_c0	cpd00038_c0 + cpd00485_c0 --> cpd00012_c0 + cpd00083_c0
rxn01241_c0	Y	Y	rxn01241_c0	Dihydrolipoamide:NAD+ oxidoreductase_c0	cpd00003_c0 + cpd00449_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00213_c0
rxn11663_c0	Y	Y	rxn11663_c0	4-(phosphonooxy)threonine:NAD oxidoreductase_c0	cpd00003_c0 + cpd03607_c0 --> cpd00004_c0 + cpd00011_c0 + cpd08449_c0
rxn00806_c0	Y	Y	rxn00806_c0	L-Leucine:2-oxoglutarate aminotransferase_c0	cpd00024_c0 + cpd00107_c0 <=> cpd00023_c0 + cpd00200_c0
rxn12405_c0	Y	Y	rxn12405_c0	transport of (r)-3-hydroxybutanoate [extraorganism-cytosol](passive)_c0	cpd00797_e0 <=> cpd00797_c0
rxn00137_c0	Y	Y	rxn00137_c0	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase_c0	cpd00001_c0 + cpd00045_c0 --> cpd00009_c0 + cpd00018_c0
rxn02944_c0	Y	Y	rxn02944_c0	N2-succinyl-L-ornithine:2-oxoglutarate 5-aminotransferase_c0	cpd00024_c0 + cpd02160_c0 <=> cpd00023_c0 + cpd03526_c0
rxn08819_c0	Y	Y	rxn08819_c0	Lysophospholipase L2 (2-acylglycerophosphotidate, n-C14:1)_c0	cpd00001_c0 + cpd15362_c0 --> 2.0 cpd00067_c0 + cpd00080_c0 + cpd15298_c0
