qseqid	sseqid	pident	length	evalue	bitscore
2264	sp|P0AEE1|DCRB_ECOLI	30.0	60	1.1	27.3
1547	sp|P38134|ETK_ECOLI	23.65	778	8.849999999999999e-38	147.0
1635	sp|P76347|YEEJ_ECOLI	25.572	481	2.88e-14	73.9
1635	sp|P76347|YEEJ_ECOLI	26.829	246	7.67e-05	43.1
1635	sp|P76347|YEEJ_ECOLI	24.848	165	0.012	35.8
2410	sp|P0AEZ7|MLTD_ECOLI	36.798	481	1.71e-97	301.0
3045	sp|P0AGJ9|SYY_ECOLI	29.665	418	9.16e-39	141.0
2441	sp|P09549|DEDD_ECOLI	30.472	233	6.01e-23	89.4
1242	sp|P24193|HYPE_ECOLI	32.075	53	4.9	26.9
