qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
MFD3319425.1	2965	30.769	52	34	1	16	67	102	151	0.60	24.6
MFD3319425.1	772	24.490	49	37	0	2	50	78	126	1.4	23.5
MFD3319425.1	1635	21.569	51	40	0	1	51	388	438	1.5	23.9
MFD3319425.1	2264	33.333	42	26	1	2	41	114	155	1.9	23.5
MFD3319425.1	2553	25.490	51	38	0	6	56	124	174	4.6	22.3
MFD3319425.1	3434	52.941	17	8	0	45	61	111	127	5.4	22.3
MFD3319425.1	402	61.538	13	5	0	4	16	383	395	7.1	21.9
MFD3319425.1	3732	28.571	49	26	1	23	62	374	422	8.7	21.6
