gene_id,gene_symbol,kegg_ortholog
WP_049586618.1,yfiH,K05810
WP_014948660.1,ppnP,K09913
WP_049588804.1,ygeS,K00087
WP_049587886.1,yagR,K11177
WP_049587884.1,yagS,K11178
WP_049588805.1,ygeT,K13479
WP_039228167.1,ygeU,K13480
WP_049588805.1,xdhA,K13481
WP_049588804.1,xdhB,K13482
WP_039228167.1,yagT,K13483
WP_049587147.1,agaB,K01219
VTP52648.1,agxt,K00830
WP_049588781.1,agxt2,K00827
WP_049586506.1,algpul_mfs,algpulmfs
WP_085929484.1,algpul_dehr,algpuldehr
WP_049588500.1,a1-R,a1
WP_049589015.1,kdgK,K00874
WP_049588496.1,sskdgK,K18126
WP_049588496.1,algpul_kdgk,algpulkdgk
WP_014949849.1,algpul_eda,algpuleda
WP_014950397.1,algpul_reg,algpulreg
WP_049588132.1,fumC,K01679
WP_014949447.1,frdA,K00244
WP_012518362.1,frdB,K00245
WP_049586069.1,aspA,K01437
WP_014948020.1,astA,K00673
WP_049589115.1,astB,K01484
WP_049588781.1,astC,K00840
WP_049588782.1,astD,K06447
WP_049588976.1,astE,K05526
WP_049587803.1,proB,K00931
WP_039229394.1,proA,K00147
WP_014950684.1,aldh4A1,K00294
WP_049588781.1,oat,K00819
WP_049588781.1,argD,argD
WP_049586533.1,asrgl1,K13051
WP_014976407.1,asp,K01424
WP_049588038.1,np6,np6
WP_080760048.1,racD,K01779
WP_014976996.1,nadB,K00278
WP_049586575.1,ap8,ap8
WP_049586076.1,ap24,ap24
WP_014950400.1,ap32,ap32
WP_049585438.1,xylC,K00141
WP_049588594.1,benC,K05784
WP_049588500.1,benD,K05783
WP_014975676.1,catB,K01856
WP_197047984.1,pcaD,K01055
WP_049586255.1,pcaI,K01031
WP_049586254.1,pcaJ,K01032
WP_049585851.1,fadA,K00632
WP_049588755.1,pcaF,K07823
WP_024015658.1,paaJ,K02615
WP_197047972.1,bauA,K00822
WP_049588781.1,toa,K15372
WP_049588781.1,puuE,K00823
WP_049588781.1,gabT,K07250
WP_049588781.1,abaT,K13524
WP_049588781.1,davT,K14268
WP_020744244.1,aldh6a1,K00140
VTP50462.1,cpxR,K07662
WP_014975497.1,cpxA,K07640
WP_049588570.1,bcat,K00826
WP_049586267.1,bkdA1,K00166
WP_049586269.1,bkdA2,K00167
WP_049586089.1,dld,K00382
WP_049586270.1,dbt,K09699
WP_049586255.1,atoD,K01034
WP_049586254.1,atoA,K01035
WP_049586975.1,acsm,K01896
WP_014949760.1,ccrA,K17829
WP_049586958.1,ter,K00209
WP_049589161.1,acads,K00248
WP_014947829.1,abfT,K18122
WP_039227754.1,glyR,K18121
WP_049588907.1,gbd,K00043
WP_085929484.1,yihU,K08318
WP_049588907.1,abfH,K18120
WP_049585438.1,gabD,K00135
WP_049585438.1,sad,K08324
WP_049585950.1,cimA,K09011
WP_049585948.1,leuC,K01703
WP_049585947.1,leuD,K01704
WP_049585949.1,leuB,K00052
WP_049586785.1,ackA,K00925
WP_049586785.1,tdcD,K00932
WP_049586785.1,pduW,K19697
WP_049586389.1,bglA,K01223
WP_049586389.1,bglU,K01188
WP_049585652.1,bglX,K05349
WP_049585649.1,bglB,K05350
WP_014948654.1,cheW,K03408
WP_014951104.1,cheX,K03409
WP_049588941.1,cheC,K03410
WP_014948650.1,cheZ,K03414
WP_014978562.1,cheR,K00575
WP_049588035.1,cheB,K03412
WP_049586000.1,cheV,K03415
WP_049588806.1,cda12,K01452
WP_049586975.1,acs,K01895
WP_049587987.1,aceB;glcB,K01638
VTP50440.1,me2;sfcA;maeA,K00027
VTP50522.1,nagZ,K01207
WP_014980177.1,glmA,glmA
WP_049587867.1,pgm3,K01836
WP_049585927.1,nagA,K01443
WP_049585927.1,agaA,K02079
WP_049585926.1,gspK,K18676
WP_049588093.1,acnA,K01681
WP_049586716.1,idh1;idh2,K00031
WP_014948534.1,idh3,K00030
WP_049588626.1,ogdh,K00164
WP_049588626.1,kgd,K01616
WP_014949449.1,sucB,K00658
WP_012518366.1,sucD,K01902
WP_014949450.1,sucC,K01903
WP_014950802.1,mdh,K00024
WP_014949444.1,cs,K01647
WP_080986408.1,amyA,K01176
WP_049585787.1,cysK,K01738
WP_041693510.1,met17,K17069
WP_049587271.1,aspB,K00812
WP_014949721.1,aspC,K00813
WP_049587271.1,yhdR,K11358
WP_041693510.1,cth,K01758
WP_041693510.1,metC,K01760
WP_049588230.1,malY,K14155
WP_041693510.1,mccB,K17217
WP_049588222.1,sseA,K01011
WP_049586770.1,cp39,cp39
WP_049588457.1,cp1,cp1
WP_049585953.1,cp26,cp26
HAO18916.1,cp93,cp93
WP_014950543.1,cp44,cp44
WP_049585995.1,cp56,cp56
WP_049587905.1,cp60,cp60
WP_014951321.1,yrfG,K20881
OZB95628.1,cdd,K01489
WP_014977204.1,inuH,K25589
WP_014977204.1,rihB,K10213
WP_049585992.1,fcy1,K03365
WP_049586997.1,narG,K00370
WP_049586998.1,napA,K02567
WP_049586998.1,nasA,K00372
WP_049586998.1,narB,K00367
WP_049586997.1,nasB,K00360
WP_049586997.1,nirB,K00362
WP_014975661.1,nirD,K00363
WP_049586525.1,atoB,K00626
WP_049588500.1,phbB,K00023
WP_049587238.1,ccr,K14446
WP_049587062.1,acsL,K01897
WP_014947786.1,acd,K00249
WP_014976690.1,fadE,K06445
WP_049586522.1,acadL,K00255
WP_014976911.1,echA,K01692
WP_049588521.1,fadB,K01825
VTP51252.1,fadJ,K01782
VTP51252.1,fadB2,K13767
WP_049588754.1,hadH,K00022
WP_049588754.1,fadN,K07516
WP_049585851.1,hadhb,K07509
WP_049588438.1,fucK,K00879
WP_014976326.1,lvr,K18333
WP_049587022.1,fucB,K07046
WP_049589018.1,fucH,fucH
WP_049587021.1,ucpA,K18335
WP_014977595.1,gad,K01580
WP_197047972.1,pop2,K16871
WP_049589083.1,galM,K01785
WP_061093966.1,galK,K00849
WP_049589081.1,galT,K00965
WP_014978530.1,galE,K01784
VTP51053.1,capD,K17716
WP_049588979.1,pgm,K01835
WP_049586810.1,galD,K22215
WP_039225720.1,akr1B,K00011
WP_039216382.1,idnK,K00851
WP_049585467.1,pckA,K01610
WP_049587083.1,fbp,K03841
WP_080986362.1,adh,K00002
WP_049588754.1,cryl1,K13247
WP_049588438.1,lyx,lyx
WP_014949725.1,dcxr,K03331
WP_049589017.1,uxaC,K01812
WP_049589016.1,uxuB,K00040
WP_014975676.1,manD,K08323
WP_014975676.1,gci,K18983
WP_049588591.1,aldH,K13877
WP_014950281.1,dopDH,K19588
WP_049589016.1,uxaB,K00041
AMN11334.1,trpG,K01658
WP_049589018.1,uxaA2,K16850
WP_049587678.1,glud1,K00261
WP_049587790.1,gudB,K00260
WP_049586292.1,gdh2,K15371
WP_049587790.1,gdhA,K00262
WP_049588132.1,aspA,K01744
WP_049586098.1,serA,K00058
WP_049586233.1,hgdH,K25634
WP_049586521.1,gcdA,K01615
WP_014976911.1,crt1,crt1
WP_014976738.1,etfA1,etfA1
WP_014949735.1,etfB1,etfB1
WP_049586522.1,bcd,bcd
VTP54195.1,gls,K01425
WP_049585995.1,purQ,K23265
WP_014949941.1,ppat,K00764
WP_049588438.1,glpK,K00864
WP_049588438.1,gk5,K19583
WP_049588435.1,glpA,K00111
WP_049586860.1,gldA,K00005
WP_049588707.1,golD,K22251
WP_049586860.1,dhaT,K00086
WP_049587964.1,gcvP,K00281
WP_049587964.1,gcvPA,K00282
WP_049587964.1,gcvPB,K00283
WP_049587956.1,gcvT,K00605
WP_049586089.1,lpd,K00382
WP_049587956.1,amt,K00605
WP_014950360.1,gcsh,K02437
WP_049587589.1,g6pD,K00036
WP_014979596.1,pglS,K01057
WP_014998717.1,edd,K01690
WP_049587602.1,gapA,K00134
WP_049586192.1,pgk12,K00927
WP_014947970.1,pgaM;gpmA,K01834
WP_014947970.1,gpmB,K15634
WP_049585952.1,eno,K01689
WP_014949855.1,pk,K00873
WP_014975676.1,gnaD,K05308
WP_049588805.1,cutB,K18021
WP_039228167.1,cutC,K18022
WP_014950281.1,gapN,K18978
WP_049586025.1,gpi,K01810
WP_049586246.1,pfkA,K00850
WP_049586246.1,pfk,K21071
WP_049586194.1,aldO,K01623
WP_080986462.1,tpiA,K01803
WP_049586192.1,pgk,K00927
WP_014947970.1,gpmA,K01834
WP_049586697.1,ppsA,K01007
WP_049586697.1,ppdK,K01006
WP_049587083.1,fbp-SEBP,K01086
WP_049585722.1,gapN,K00131
WP_049587992.1,aceA,K01637
WP_049586015.1,aceK,K00906
WP_049588497.1,iclR,K13641
WP_014949996.1,fadR,K03603
WP_139125446.1,arcA,arcA
