locus_tag_from_mut_lib,protein_accession,locus_tag_from_model
MIT1002_00001,WP_049586370.1,TK37_RS04860
MIT1002_00002,WP_049586368.1,TK37_RS04855
MIT1002_00003,WP_049586367.1,TK37_RS04850
MIT1002_00004,WP_049586366.1,TK37_RS04845
MIT1002_00005,WP_049586365.1,TK37_RS04840
MIT1002_00006,WP_049586364.1,TK37_RS04835
MIT1002_00007,WP_014947716.1,TK37_RS04830
MIT1002_00008,WP_080986385.1,TK37_RS04825
MIT1002_00009,WP_049586362.1,TK37_RS04820
MIT1002_00010,WP_014947719.1,TK37_RS04815
MIT1002_00011,WP_080986387.1,TK37_RS04810
MIT1002_00012,WP_014947721.1,TK37_RS04805
MIT1002_00013,WP_014947722.1,TK37_RS04800
MIT1002_00014,WP_049586361.1,TK37_RS04795
MIT1002_00015,WP_049586360.1,TK37_RS04790
MIT1002_00016,WP_014947725.1,TK37_RS04785
MIT1002_00017,WP_014947726.1,TK37_RS04780
MIT1002_00018,WP_049586358.1,TK37_RS04775
MIT1002_00019,WP_039228916.1,TK37_RS04770
MIT1002_00020,WP_014977863.1,TK37_RS04765
MIT1002_00021,WP_049586356.1,TK37_RS04760
MIT1002_00022,WP_049586354.1,TK37_RS04755
MIT1002_00023,WP_014947732.1,TK37_RS04750
MIT1002_00024,WP_014975256.1,TK37_RS04745
MIT1002_00025,WP_049586351.1,TK37_RS04740
MIT1002_00026,WP_049586350.1,TK37_RS04735
MIT1002_00027,WP_049586348.1,TK37_RS04730
MIT1002_00028,WP_049586347.1,TK37_RS04725
MIT1002_00029,WP_039228930.1,TK37_RS04720
MIT1002_00030,WP_014947739.1,TK37_RS04715
MIT1002_00031,WP_080986386.1,TK37_RS04710
MIT1002_00037,WP_049587508.1,TK37_RS10630
MIT1002_00038,WP_049587509.1,TK37_RS10635
MIT1002_00039,WP_230962185.1,
MIT1002_00040,WP_049587513.1,TK37_RS10645
MIT1002_00041,WP_049587515.1,TK37_RS10650
MIT1002_00042,WP_049587517.1,TK37_RS10655
MIT1002_00043,WP_049587518.1,TK37_RS10660
MIT1002_00044,WP_049587520.1,TK37_RS10665
MIT1002_00045,WP_049587521.1,TK37_RS10670
MIT1002_00046,WP_049587523.1,TK37_RS10675
MIT1002_00047,WP_012516568.1,TK37_RS10680
MIT1002_00048,WP_049587528.1,TK37_RS10685
MIT1002_00049,WP_014947752.1,TK37_RS10690
MIT1002_00050,WP_014977885.1,TK37_RS10695
MIT1002_00051,WP_014947754.1,TK37_RS10700
MIT1002_00052,WP_039236677.1,TK37_RS10705
MIT1002_00053,WP_049587529.1,TK37_RS10710
MIT1002_00054,WP_014947757.1,TK37_RS10715
MIT1002_00055,WP_012516577.1,TK37_RS10720
MIT1002_00056,WP_049587531.1,TK37_RS10725
MIT1002_00057,WP_014947759.1,TK37_RS10730
MIT1002_00058,WP_014947760.1,TK37_RS10735
MIT1002_00059,WP_014977890.1,TK37_RS10740
MIT1002_00060,WP_049587532.1,TK37_RS10745
MIT1002_00061,WP_049587534.1,TK37_RS10750
MIT1002_00062,WP_049587535.1,TK37_RS10755
MIT1002_00063,WP_014977894.1,TK37_RS10760
MIT1002_00064,WP_049587537.1,TK37_RS10765
MIT1002_00065,WP_014947767.1,TK37_RS10770
MIT1002_00066,WP_049587538.1,TK37_RS10775
MIT1002_00067,WP_049587539.1,TK37_RS10780
MIT1002_00068,WP_049587578.1,TK37_RS10785
MIT1002_00069,WP_014975277.1,TK37_RS10790
MIT1002_00070,WP_014975278.1,TK37_RS10795
MIT1002_00071,WP_049587540.1,TK37_RS10800
MIT1002_00072,WP_049587542.1,TK37_RS10805
MIT1002_00073,WP_049587544.1,TK37_RS10810
MIT1002_00075,WP_049587545.1,TK37_RS10820
MIT1002_00076,WP_049587547.1,TK37_RS10825
MIT1002_00077,WP_049587550.1,TK37_RS10830
MIT1002_00078,WP_049587551.1,TK37_RS10835
MIT1002_00079,WP_049587552.1,TK37_RS10840
MIT1002_00080,WP_014947779.1,TK37_RS10845
MIT1002_00081,WP_080986425.1,
MIT1002_00082,WP_080986426.1,TK37_RS10855
MIT1002_00083,WP_053103821.1,TK37_RS10860
MIT1002_00084,WP_049587556.1,TK37_RS10865
MIT1002_00085,WP_049587558.1,TK37_RS10870
MIT1002_00086,WP_014947786.1,TK37_RS10875
MIT1002_00087,WP_049587583.1,TK37_RS10880
MIT1002_00088,WP_049587584.1,TK37_RS10885
MIT1002_00089,WP_049587559.1,TK37_RS10890
MIT1002_00090,WP_049587562.1,TK37_RS10895
MIT1002_00091,WP_014947791.1,TK37_RS10900
MIT1002_00092,WP_049587563.1,TK37_RS10905
MIT1002_00093,WP_049587565.1,TK37_RS10910
MIT1002_00094,WP_049587566.1,TK37_RS10915
MIT1002_00095,WP_049587568.1,TK37_RS10920
MIT1002_00096,WP_049587570.1,TK37_RS10925
MIT1002_00097,WP_049587572.1,TK37_RS10930
MIT1002_00099,WP_049587573.1,TK37_RS10935
MIT1002_00100,WP_049587574.1,TK37_RS10940
MIT1002_00101,WP_039226924.1,TK37_RS10945
MIT1002_00102,WP_014947801.1,TK37_RS10950
MIT1002_00103,WP_049587575.1,TK37_RS10955
MIT1002_00104,WP_014977932.1,TK37_RS10960
MIT1002_00105,WP_049589215.1,TK37_RS20465
MIT1002_03178,WP_049589215.1,TK37_RS20465
MIT1002_03762,WP_049589215.1,TK37_RS20465
MIT1002_00106,WP_039236747.1,TK37_RS08840
MIT1002_00107,WP_014947805.1,TK37_RS08835
MIT1002_00108,WP_039226917.1,TK37_RS08830
MIT1002_00109,WP_049587131.1,TK37_RS08825
MIT1002_00110,WP_049587129.1,TK37_RS08820
MIT1002_00111,WP_049587128.1,TK37_RS08815
MIT1002_00112,WP_049587127.1,TK37_RS08810
MIT1002_00113,WP_014996861.1,TK37_RS08805
MIT1002_00114,WP_014947811.1,TK37_RS08800
MIT1002_00115,WP_049587125.1,TK37_RS08795
MIT1002_00116,WP_014975321.1,TK37_RS08790
MIT1002_00117,WP_039226913.1,TK37_RS08785
MIT1002_00118,WP_049587123.1,TK37_RS08780
MIT1002_00119,WP_049587122.1,TK37_RS08775
MIT1002_00120,WP_049587119.1,TK37_RS08770
MIT1002_00121,WP_152910877.1,TK37_RS21125
MIT1002_00122,WP_049587117.1,
MIT1002_00124,WP_049587115.1,TK37_RS08755
MIT1002_00125,WP_049587114.1,TK37_RS08750
MIT1002_00126,WP_014975326.1,TK37_RS08745
MIT1002_00127,WP_049587137.1,TK37_RS08740
MIT1002_00128,WP_231514228.1,
MIT1002_00129,WP_039226907.1,TK37_RS08730
MIT1002_00130,WP_014975330.1,TK37_RS08725
MIT1002_00131,WP_049587136.1,TK37_RS08720
MIT1002_00132,WP_374960959.1,
MIT1002_00133,WP_049587111.1,TK37_RS08710
MIT1002_00134,WP_014947826.1,TK37_RS08705
MIT1002_00135,WP_049587110.1,TK37_RS08700
MIT1002_00136,WP_014947828.1,TK37_RS08695
MIT1002_00137,WP_014947829.1,TK37_RS08690
MIT1002_00138,WP_049587109.1,TK37_RS08685
MIT1002_00139,WP_039236791.1,TK37_RS08680
MIT1002_00140,WP_014947832.1,TK37_RS08675
MIT1002_00141,WP_049587106.1,TK37_RS08670
MIT1002_00142,WP_049587105.1,TK37_RS08665
MIT1002_00143,WP_049587104.1,TK37_RS08660
MIT1002_00144,WP_049587102.1,TK37_RS08655
MIT1002_00145,WP_231514229.1,
MIT1002_00146,WP_014975341.1,TK37_RS08645
MIT1002_00147,WP_014975342.1,TK37_RS08640
MIT1002_00148,WP_049587101.1,TK37_RS08635
MIT1002_00149,WP_049587099.1,TK37_RS08630
MIT1002_00150,WP_014977961.1,TK37_RS08625
MIT1002_00151,WP_014977962.1,TK37_RS08620
MIT1002_00152,WP_049587098.1,TK37_RS08615
MIT1002_00153,WP_014977964.1,TK37_RS08610
MIT1002_00154,WP_049587097.1,TK37_RS08605
MIT1002_00155,WP_049587095.1,TK37_RS08600
MIT1002_00156,WP_049587094.1,TK37_RS08595
MIT1002_00157,WP_049587093.1,TK37_RS08590
MIT1002_00158,WP_049587092.1,TK37_RS08585
MIT1002_00159,WP_049587091.1,TK37_RS08580
MIT1002_00160,WP_039226879.1,TK37_RS08575
MIT1002_00161,WP_039226877.1,TK37_RS08570
MIT1002_00162,WP_049587089.1,TK37_RS08565
MIT1002_00163,WP_014947854.1,TK37_RS08560
MIT1002_00164,WP_049587088.1,TK37_RS08555
MIT1002_00165,WP_049587086.1,TK37_RS08550
MIT1002_00166,WP_039226872.1,TK37_RS08545
MIT1002_00167,WP_014947858.1,TK37_RS08540
MIT1002_00168,WP_080986403.1,TK37_RS08535
MIT1002_00169,WP_049587083.1,TK37_RS08530
MIT1002_00170,WP_014947861.1,TK37_RS08525
MIT1002_00171,WP_049587082.1,TK37_RS08520
MIT1002_00172,WP_049587081.1,TK37_RS08515
MIT1002_00173,WP_014975360.1,TK37_RS08510
MIT1002_00174,WP_014947865.1,TK37_RS08505
MIT1002_00175,WP_049587080.1,TK37_RS08500
MIT1002_00176,WP_049587078.1,TK37_RS08495
MIT1002_00177,WP_049587076.1,TK37_RS08490
MIT1002_00178,WP_012516741.1,
MIT1002_00179,WP_049587075.1,TK37_RS08480
MIT1002_00180,WP_049587074.1,TK37_RS08475
MIT1002_00181,WP_014977981.1,TK37_RS08470
MIT1002_00182,WP_230633747.1,
MIT1002_00183,WP_049587073.1,TK37_RS08460
MIT1002_00185,WP_014975370.1,TK37_RS20530
MIT1002_00197,WP_014975370.1,TK37_RS20530
MIT1002_00348,WP_014975370.1,TK37_RS20530
MIT1002_00418,WP_014975370.1,TK37_RS20530
MIT1002_00513,WP_014975370.1,TK37_RS20530
MIT1002_02792,WP_014975370.1,TK37_RS20530
MIT1002_00186,WP_014947876.1,TK37_RS19720
MIT1002_00187,WP_049589083.1,TK37_RS19715
MIT1002_00188,WP_049589081.1,TK37_RS19710
MIT1002_00189,WP_039217399.1,TK37_RS19705
MIT1002_00190,WP_049589079.1,TK37_RS19700
MIT1002_00191,WP_049589078.1,TK37_RS19695
MIT1002_00192,WP_049589077.1,TK37_RS19690
MIT1002_00193,WP_049589076.1,TK37_RS19685
MIT1002_00194,WP_049589075.1,TK37_RS19680
MIT1002_00195,WP_049589074.1,TK37_RS19675
MIT1002_00196,WP_014947886.1,TK37_RS19670
MIT1002_00198,WP_049588438.1,TK37_RS14845
MIT1002_00199,WP_014947888.1,TK37_RS14840
MIT1002_00200,WP_049588435.1,TK37_RS14835
MIT1002_00201,WP_049588434.1,TK37_RS14830
MIT1002_00202,WP_014947891.1,TK37_RS14825
MIT1002_00203,WP_039236872.1,TK37_RS14820
MIT1002_00204,WP_014977997.1,TK37_RS14815
MIT1002_00205,WP_049588433.1,TK37_RS14810
MIT1002_00206,WP_014947895.1,TK37_RS14805
MIT1002_00207,WP_014947896.1,TK37_RS14800
MIT1002_00208,WP_039236883.1,TK37_RS14795
MIT1002_00209,WP_049588431.1,TK37_RS14790
MIT1002_00210,WP_049588429.1,TK37_RS14785
MIT1002_00211,WP_049588428.1,TK37_RS14780
MIT1002_00212,WP_049588426.1,TK37_RS14775
MIT1002_00213,WP_049588424.1,TK37_RS14770
MIT1002_00214,WP_049588423.1,TK37_RS14765
MIT1002_00215,WP_049588421.1,TK37_RS14760
MIT1002_00216,WP_049588420.1,TK37_RS14755
MIT1002_00217,WP_049588419.1,TK37_RS14750
MIT1002_00218,WP_049588417.1,TK37_RS14745
MIT1002_00219,WP_049588416.1,TK37_RS14740
MIT1002_00220,WP_014947909.1,TK37_RS14735
MIT1002_00221,WP_049588415.1,TK37_RS14730
MIT1002_00222,WP_014978011.1,TK37_RS14725
MIT1002_00223,WP_014978012.1,TK37_RS14720
MIT1002_00224,WP_014947913.1,TK37_RS14715
MIT1002_00225,WP_049588413.1,TK37_RS14710
MIT1002_00226,WP_049588411.1,TK37_RS14705
MIT1002_00227,WP_049588410.1,TK37_RS14700
